ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,13,87,22,42,2003-07
2,12,90,23,43,2003-10
3,12,90,23,43,2004-01
4,12,90,23,43,2004-04
5,12,90,23,43,2004-07
6,12,90,23,43,2004-10
7,13,87,22,41,2003-04
8,56,92,23,45,2006-01
9,12,90,23,45,2005-01
10,12,90,23,45,2005-04
11,56,92,23,45,2005-07
12,56,92,23,45,2005-10
13,56,92,23,45,2006-04
14,58,94,24,47,2008-04
15,58,94,24,47,2008-07
16,58,94,24,47,2008-10
17,56,92,23,45,2006-07
18,58,94,24,47,2006-10
19,58,94,24,47,2007-01
20,58,94,24,47,2007-04
21,58,94,24,47,2007-07
22,58,94,24,47,2007-10
23,58,94,24,47,2008-01
