ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,58,131,27,44,2003-07
2,60,140,29,46,2003-10
3,60,140,29,46,2004-01
4,60,140,29,46,2004-04
5,60,140,29,46,2004-07
6,60,140,29,46,2004-10
7,58,131,27,43,2003-04
8,68,157,35,48,2006-01
9,60,155,35,48,2005-01
10,60,155,35,48,2005-04
11,68,157,35,48,2005-07
12,68,157,35,48,2005-10
13,68,157,35,48,2006-04
14,77,171,38,52,2008-04
15,78,175,39,53,2008-07
16,78,175,39,53,2008-10
17,68,157,35,48,2006-07
18,77,171,38,52,2006-10
19,77,171,38,52,2007-01
20,77,171,38,52,2007-04
21,77,171,38,52,2007-07
22,77,171,38,52,2007-10
23,77,171,38,52,2008-01
