ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,25,25,6,16,2003-07
2,19,31,7,17,2003-10
3,19,31,7,17,2004-01
4,19,31,7,17,2004-04
5,19,31,7,17,2004-07
6,19,36,9,17,2004-10
7,25,25,6,16,2003-04
8,61,77,18,19,2006-01
9,19,36,9,17,2005-01
10,42,76,18,19,2005-04
11,61,77,18,19,2005-07
12,61,77,18,19,2005-10
13,61,77,18,19,2006-04
14,70,83,20,21,2008-04
15,70,83,20,21,2008-07
16,70,83,20,21,2008-10
17,61,77,18,19,2006-07
18,61,77,18,19,2006-10
19,61,77,18,19,2007-01
20,61,77,18,19,2007-04
21,61,77,18,19,2007-07
22,61,77,18,19,2007-10
23,61,77,18,19,2008-01
