ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,75,25,6,15,2003-07
2,75,25,6,15,2003-10
3,75,25,6,15,2004-01
4,65,40,11,17,2004-04
5,65,40,11,17,2004-07
6,65,40,11,17,2004-10
7,72,44,11,17,2006-01
8,65,40,11,17,2005-01
9,65,40,11,17,2005-04
10,72,44,11,17,2005-07
11,72,44,11,17,2005-10
12,72,44,11,17,2006-04
13,72,44,11,17,2008-04
14,72,44,11,17,2008-07
15,72,44,11,17,2008-10
16,72,44,11,17,2006-07
17,72,44,11,17,2006-10
18,72,44,11,17,2007-01
19,72,44,11,17,2007-04
20,72,44,11,17,2007-07
21,72,44,11,17,2007-10
22,72,44,11,17,2008-01
