ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,56,62,13,20,2003-07
2,56,62,13,20,2003-10
3,56,62,13,20,2004-01
4,50,73,21,21,2004-04
5,50,76,22,21,2004-07
6,50,76,22,21,2004-10
7,56,62,13,20,2003-04
8,66,77,22,21,2006-01
9,50,76,22,21,2005-01
10,50,76,22,21,2005-04
11,66,77,22,21,2005-07
12,66,77,22,21,2005-10
13,66,77,22,21,2006-04
14,66,77,22,21,2008-04
15,66,77,22,21,2008-07
16,66,77,22,21,2008-10
17,66,77,22,21,2006-07
18,66,77,22,21,2006-10
19,66,77,22,21,2007-01
20,66,77,22,21,2007-04
21,66,77,22,21,2007-07
22,66,77,22,21,2007-10
23,66,77,22,21,2008-01
