ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,63,239,45,47,2003-07
2,63,245,46,48,2003-10
3,63,245,46,48,2004-01
4,63,242,46,48,2004-04
5,63,245,48,48,2004-07
6,63,245,48,48,2004-10
7,63,239,45,46,2003-04
8,72,243,49,50,2006-01
9,65,233,49,50,2005-01
10,65,233,49,50,2005-04
11,72,243,49,50,2005-07
12,72,243,49,50,2005-10
13,72,243,49,50,2006-04
14,77,273,56,55,2008-04
15,77,273,56,55,2008-07
16,77,273,56,55,2008-10
17,72,248,50,50,2006-07
18,76,271,54,54,2006-10
19,76,271,54,54,2007-01
20,76,271,54,54,2007-04
21,76,271,54,54,2007-07
22,77,273,56,55,2007-10
23,77,273,56,55,2008-01
