ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,80,105,17,25,2003-07
2,82,113,18,26,2003-10
3,82,113,18,26,2004-01
4,82,113,18,26,2004-04
5,82,115,18,26,2004-07
6,82,115,18,26,2004-10
7,80,105,17,25,2003-04
8,83,119,19,27,2006-01
9,82,115,18,26,2005-01
10,83,119,19,27,2005-04
11,83,119,19,27,2005-07
12,83,119,19,27,2005-10
13,84,137,22,28,2006-04
14,90,245,36,38,2008-04
15,90,245,36,38,2008-07
16,90,245,36,38,2008-10
17,84,137,22,28,2006-07
18,90,237,36,38,2006-10
19,90,237,36,38,2007-01
20,90,237,36,38,2007-07
21,90,245,36,38,2007-10
22,90,245,36,38,2008-01
