ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,100,17,25,2003-07
2,0,108,18,26,2003-10
3,0,108,18,26,2004-01
4,0,108,18,26,2004-04
5,0,110,18,26,2004-07
6,0,110,18,26,2004-10
7,0,100,17,25,2003-04
8,0,114,19,27,2006-01
9,0,110,18,26,2005-01
10,0,114,19,27,2005-04
11,0,114,19,27,2005-07
12,0,114,19,27,2005-10
13,0,114,19,27,2006-04
14,0,219,33,37,2008-04
15,0,223,33,37,2008-07
16,0,223,33,37,2008-10
17,0,114,19,27,2006-07
18,0,211,33,37,2006-10
19,0,211,33,37,2007-01
20,0,211,33,37,2007-07
21,0,219,33,37,2007-10
22,0,219,33,37,2008-01
