ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,46,47,9,34,2003-07
2,46,47,9,34,2003-10
3,46,47,9,34,2004-01
4,46,47,9,34,2004-04
5,46,47,9,34,2004-07
6,46,47,9,34,2004-10
7,46,47,9,34,2003-04
8,46,50,9,34,2006-01
9,46,47,9,34,2005-01
10,46,47,9,34,2005-04
11,46,50,9,34,2005-07
12,46,50,9,34,2005-10
13,46,50,9,34,2006-04
14,46,50,9,34,2008-04
15,46,50,9,34,2008-07
16,46,50,9,34,2008-10
17,46,50,9,34,2006-07
18,46,50,9,34,2006-10
19,46,50,9,34,2007-01
20,46,50,9,34,2007-04
21,46,50,9,34,2007-07
22,46,50,9,34,2007-10
23,46,50,9,34,2008-01
