ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,62,46,9,35,2003-07
2,55,44,9,35,2003-10
3,55,44,9,35,2004-01
4,55,44,9,35,2004-04
5,55,44,9,35,2004-07
6,55,44,9,35,2004-10
7,62,46,9,35,2003-04
8,55,46,9,35,2006-01
9,55,44,9,35,2005-01
10,55,44,9,35,2005-04
11,55,46,9,35,2005-07
12,55,46,9,35,2005-10
13,55,46,9,35,2006-04
14,55,46,9,35,2008-04
15,55,46,9,35,2008-07
16,55,46,9,35,2008-10
17,55,46,9,35,2006-07
18,55,46,9,35,2006-10
19,55,46,9,35,2007-01
20,55,46,9,35,2007-04
21,55,46,9,35,2007-07
22,55,46,9,35,2007-10
23,55,46,9,35,2008-01
