FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
io.realm.annotations.Ignore.csv,0.0,NaN,2.0,NaN,0.0,NaN,0.0,NaN,
io.realm.annotations.RealmClass.csv,0.0,NaN,2.0,NaN,0.0,NaN,0.0,NaN,
io.realm.entities.AllTypes.csv,88.0,88.18572680529878,65.0,66.30008763709095,18.0,18.371453610597584,22.0,22.282073285805936,
io.realm.entities.Dog.csv,86.0,74.15842924272374,57.0,50.70200709772555,16.0,14.163529474308465,20.0,17.749067098924936,
io.realm.examples.encryptionexample.Person.csv,50.0,NaN,15.0,NaN,4.0,NaN,8.0,7.762431027647352,
io.realm.examples.intro.model.Cat.csv,0.0,NaN,9.0,NaN,2.0,NaN,6.0,5.68994167521585,
io.realm.examples.intro.model.Dog.csv,0.0,NaN,9.0,NaN,2.0,NaN,6.0,5.68994167521585,
io.realm.examples.intro.model.Person.csv,80.0,82.05318651154944,37.0,42.47516403080006,10.0,11.368791007700015,14.0,15.124997384657584,
io.realm.examples.realmgridview.City.csv,50.0,NaN,16.0,NaN,4.0,NaN,8.0,7.762431027646424,
io.realm.examples.realmgridview.CityAdapter.csv,66.0,NaN,41.0,NaN,10.0,NaN,6.0,NaN,
io.realm.examples.realmmigrationexample.model.Migration.csv,0.0,NaN,60.0,NaN,14.0,NaN,2.0,NaN,
io.realm.examples.realmmigrationexample.model.Person.csv,66.0,NaN,23.0,NaN,6.0,NaN,10.0,9.757625136737577,
io.realm.examples.realmmigrationexample.model.Pet.csv,50.0,NaN,16.0,NaN,4.0,NaN,8.0,7.762431027646424,
io.realm.exceptions.RealmException.csv,0.0,NaN,8.0,8.661336894925295,2.0,2.2204456316417662,2.0,2.2204456316417662,
io.realm.exceptions.RealmIOException.csv,0.0,NaN,13.0,NaN,4.0,NaN,4.0,NaN,
io.realm.exceptions.RealmMigrationNeededException.csv,0.0,NaN,8.0,7.264510142275427,2.0,1.7548367140918097,2.0,1.7548367140918097,
