@relation 0.7.0

@attribute Kind {Class,'Private Class','Public Abstract Class','Public Class','Public Interface'}
@attribute Name {com.jrefinery.chart.CombinedPlot.ChartInfo,com.jrefinery.chart.LegendItem,com.jrefinery.chart.data.ArrayHolder,com.jrefinery.chart.demo.JFreeChartDemo.JFreeChartDemo.(Anon_1),com.jrefinery.chart.ui.LegendPropertyEditPanel,com.jrefinery.chart.ui.NumberAxisPropertyEditPanel,com.jrefinery.chart.CandleSticksPlot.Candle,com.jrefinery.chart.CandleSticksPlot.StdLineElement,com.jrefinery.chart.AbstractAxisRange,com.jrefinery.chart.AbstractTitle,com.jrefinery.chart.Axis,com.jrefinery.chart.BarPlot,com.jrefinery.chart.CategoryAxis,com.jrefinery.chart.DateAxis,com.jrefinery.chart.Legend,com.jrefinery.chart.NumberAxis,com.jrefinery.chart.Plot,com.jrefinery.chart.TickUnit,com.jrefinery.chart.Title,com.jrefinery.chart.ValueAxis,com.jrefinery.chart.AxisNotCompatibleException,com.jrefinery.chart.Bar,com.jrefinery.chart.CandleSticksPlot,com.jrefinery.chart.ChartFactory,com.jrefinery.chart.ChartUtilities,com.jrefinery.chart.CombinedChart,com.jrefinery.chart.CombinedHorizontalDateAxis,com.jrefinery.chart.CombinedHorizontalNumberAxis,com.jrefinery.chart.CombinedPlot,com.jrefinery.chart.CombinedVerticalNumberAxis,com.jrefinery.chart.DateAxisRange,com.jrefinery.chart.DateTitle,com.jrefinery.chart.DateUnit,com.jrefinery.chart.HighLow,com.jrefinery.chart.HighLowPlot,com.jrefinery.chart.HorizontalBarPlot,com.jrefinery.chart.HorizontalBarRenderer,com.jrefinery.chart.HorizontalCategoryAxis,com.jrefinery.chart.HorizontalDateAxis,com.jrefinery.chart.HorizontalNumberAxis,com.jrefinery.chart.ImageTitle,com.jrefinery.chart.JFreeChart,com.jrefinery.chart.JFreeChartFrame,com.jrefinery.chart.JFreeChartPanel,com.jrefinery.chart.Line,com.jrefinery.chart.LineAndShapeRenderer,com.jrefinery.chart.LinePlot,com.jrefinery.chart.NumberAxisRange,com.jrefinery.chart.NumberTickUnit,com.jrefinery.chart.OverlaidHorizontalDateAxis,com.jrefinery.chart.OverlaidHorizontalNumberAxis,com.jrefinery.chart.OverlaidPlot,com.jrefinery.chart.OverlaidVerticalNumberAxis,com.jrefinery.chart.PiePlot,com.jrefinery.chart.PlotException,com.jrefinery.chart.PlotNotCompatibleException,com.jrefinery.chart.StackedHorizontalBarRenderer,com.jrefinery.chart.StackedVerticalBarRenderer,com.jrefinery.chart.StackedVerticalBarRenderer3D,com.jrefinery.chart.StandardLegend,com.jrefinery.chart.StandardTitle,com.jrefinery.chart.StandardXYItemRenderer,com.jrefinery.chart.TextTitle,com.jrefinery.chart.Tick,com.jrefinery.chart.TickUnits,com.jrefinery.chart.VerticalBarPlot,com.jrefinery.chart.VerticalBarPlot3D,com.jrefinery.chart.VerticalBarRenderer,com.jrefinery.chart.VerticalBarRenderer3D,com.jrefinery.chart.VerticalCategoryAxis,com.jrefinery.chart.VerticalNumberAxis,com.jrefinery.chart.VerticalNumberAxis3D,com.jrefinery.chart.VerticalXYBarPlot,com.jrefinery.chart.XYPlot,com.jrefinery.chart.data.LinearPlotFitAlgorithm,com.jrefinery.chart.data.MovingAveragePlotFitAlgorithm,com.jrefinery.chart.data.PlotFit,com.jrefinery.chart.demo.DemoDatasetFactory,com.jrefinery.chart.demo.DescriptionPanel,com.jrefinery.chart.demo.EmptyXYDataset,com.jrefinery.chart.demo.JFreeChartDemo,com.jrefinery.chart.demo.JFreeChartServletDemo,com.jrefinery.chart.demo.SampleHighLowDataset,com.jrefinery.chart.demo.SampleXYDataset,com.jrefinery.chart.demo.SampleXYDataset2,com.jrefinery.chart.demo.SampleXYDatasetThread,com.jrefinery.chart.demo.Test,com.jrefinery.chart.event.AxisChangeEvent,com.jrefinery.chart.event.ChartChangeEvent,com.jrefinery.chart.event.LegendChangeEvent,com.jrefinery.chart.event.PlotChangeEvent,com.jrefinery.chart.event.TitleChangeEvent,com.jrefinery.chart.ui.AxisPropertyEditPanel,com.jrefinery.chart.ui.ChartPropertyEditPanel,com.jrefinery.chart.ui.PlotPropertyEditPanel,com.jrefinery.chart.ui.TitlePropertyEditPanel,com.jrefinery.chart.AxisRange,com.jrefinery.chart.CategoryPlot,com.jrefinery.chart.CombinableAxis,com.jrefinery.chart.HorizontalAxis,com.jrefinery.chart.HorizontalCategoryItemRenderer,com.jrefinery.chart.HorizontalValuePlot,com.jrefinery.chart.VerticalAxis,com.jrefinery.chart.VerticalValuePlot,com.jrefinery.chart.XYItemRenderer,com.jrefinery.chart.data.PlotFitAlgorithm,com.jrefinery.chart.event.AxisChangeListener,com.jrefinery.chart.event.ChartChangeListener,com.jrefinery.chart.event.LegendChangeListener,com.jrefinery.chart.event.PlotChangeListener,com.jrefinery.chart.event.TitleChangeListener}
@attribute CountClassCoupled numeric
@attribute CountDeclMethod numeric
@attribute PercentLackOfCohesion numeric
@attribute Date date 'yyyy-MM-dd'

@data
Class,com.jrefinery.chart.CombinedPlot.ChartInfo,2,1,0,2001-12-30
Class,com.jrefinery.chart.LegendItem,2,1,66,2001-12-30
Class,com.jrefinery.chart.data.ArrayHolder,0,2,0,2001-12-30
Class,com.jrefinery.chart.demo.JFreeChartDemo.JFreeChartDemo.(Anon_1),3,1,0,2001-12-30
Class,com.jrefinery.chart.ui.LegendPropertyEditPanel,16,13,78,2001-12-30
Class,com.jrefinery.chart.ui.NumberAxisPropertyEditPanel,22,13,72,2001-12-30
'Private Class',com.jrefinery.chart.CandleSticksPlot.Candle,16,4,54,2001-12-30
'Private Class',com.jrefinery.chart.CandleSticksPlot.StdLineElement,14,4,54,2001-12-30
'Public Abstract Class',com.jrefinery.chart.AbstractAxisRange,1,7,42,2001-12-30
'Public Abstract Class',com.jrefinery.chart.AbstractTitle,11,23,93,2001-12-30
'Public Abstract Class',com.jrefinery.chart.Axis,22,33,93,2001-12-30
'Public Abstract Class',com.jrefinery.chart.BarPlot,8,14,88,2001-12-30
'Public Abstract Class',com.jrefinery.chart.CategoryAxis,5,2,0,2001-12-30
'Public Abstract Class',com.jrefinery.chart.DateAxis,11,14,83,2001-12-30
'Public Abstract Class',com.jrefinery.chart.Legend,9,8,85,2001-12-30
'Public Abstract Class',com.jrefinery.chart.NumberAxis,17,24,89,2001-12-30
'Public Abstract Class',com.jrefinery.chart.Plot,26,37,93,2001-12-30
'Public Abstract Class',com.jrefinery.chart.TickUnit,1,3,33,2001-12-30
'Public Abstract Class',com.jrefinery.chart.Title,10,8,56,2001-12-30
'Public Abstract Class',com.jrefinery.chart.ValueAxis,10,14,84,2001-12-30
'Public Class',com.jrefinery.chart.AxisNotCompatibleException,1,1,0,2001-12-30
'Public Class',com.jrefinery.chart.Bar,7,7,67,2001-12-30
'Public Class',com.jrefinery.chart.CandleSticksPlot,28,5,0,2001-12-30
'Public Class',com.jrefinery.chart.ChartFactory,32,18,0,2001-12-30
'Public Class',com.jrefinery.chart.ChartUtilities,15,4,0,2001-12-30
'Public Class',com.jrefinery.chart.CombinedChart,5,6,0,2001-12-30
'Public Class',com.jrefinery.chart.CombinedHorizontalDateAxis,13,10,46,2001-12-30
'Public Class',com.jrefinery.chart.CombinedHorizontalNumberAxis,13,10,53,2001-12-30
'Public Class',com.jrefinery.chart.CombinedPlot,38,33,81,2001-12-30
'Public Class',com.jrefinery.chart.CombinedVerticalNumberAxis,13,11,63,2001-12-30
'Public Class',com.jrefinery.chart.DateAxisRange,1,2,0,2001-12-30
'Public Class',com.jrefinery.chart.DateTitle,7,5,0,2001-12-30
'Public Class',com.jrefinery.chart.DateUnit,2,4,25,2001-12-30
'Public Class',com.jrefinery.chart.HighLow,6,13,82,2001-12-30
'Public Class',com.jrefinery.chart.HighLowPlot,25,15,86,2001-12-30
'Public Class',com.jrefinery.chart.HorizontalBarPlot,25,17,70,2001-12-30
'Public Class',com.jrefinery.chart.HorizontalBarRenderer,10,3,66,2001-12-30
'Public Class',com.jrefinery.chart.HorizontalCategoryAxis,18,11,27,2001-12-30
'Public Class',com.jrefinery.chart.HorizontalDateAxis,28,18,55,2001-12-30
'Public Class',com.jrefinery.chart.HorizontalNumberAxis,26,15,46,2001-12-30
'Public Class',com.jrefinery.chart.ImageTitle,8,9,51,2001-12-30
'Public Class',com.jrefinery.chart.JFreeChart,27,27,87,2001-12-30
'Public Class',com.jrefinery.chart.JFreeChartFrame,4,2,0,2001-12-30
'Public Class',com.jrefinery.chart.JFreeChartPanel,26,15,85,2001-12-30
'Public Class',com.jrefinery.chart.Line,6,5,60,2001-12-30
'Public Class',com.jrefinery.chart.LineAndShapeRenderer,9,3,44,2001-12-30
'Public Class',com.jrefinery.chart.LinePlot,23,16,87,2001-12-30
'Public Class',com.jrefinery.chart.NumberAxisRange,1,2,0,2001-12-30
'Public Class',com.jrefinery.chart.NumberTickUnit,2,2,50,2001-12-30
'Public Class',com.jrefinery.chart.OverlaidHorizontalDateAxis,9,6,33,2001-12-30
'Public Class',com.jrefinery.chart.OverlaidHorizontalNumberAxis,9,6,33,2001-12-30
'Public Class',com.jrefinery.chart.OverlaidPlot,3,1,0,2001-12-30
'Public Class',com.jrefinery.chart.OverlaidVerticalNumberAxis,9,6,33,2001-12-30
'Public Class',com.jrefinery.chart.PiePlot,29,28,91,2001-12-30
'Public Class',com.jrefinery.chart.PlotException,1,1,0,2001-12-30
'Public Class',com.jrefinery.chart.PlotNotCompatibleException,1,1,0,2001-12-30
'Public Class',com.jrefinery.chart.StackedHorizontalBarRenderer,11,4,0,2001-12-30
'Public Class',com.jrefinery.chart.StackedVerticalBarRenderer,11,4,0,2001-12-30
'Public Class',com.jrefinery.chart.StackedVerticalBarRenderer3D,16,4,0,2001-12-30
'Public Class',com.jrefinery.chart.StandardLegend,22,16,78,2001-12-30
'Public Class',com.jrefinery.chart.StandardTitle,12,7,52,2001-12-30
'Public Class',com.jrefinery.chart.StandardXYItemRenderer,10,5,60,2001-12-30
