@relation 0.8.0

@attribute Kind {Class,'Protected Class','Public Abstract Class','Public Class','Public Interface'}
@attribute Name {com.jrefinery.chart.combination.CombinedPlot.ChartInfo,com.jrefinery.chart.data.ArrayHolder,com.jrefinery.chart.demo.JFreeChartDemo.JFreeChartDemo.(Anon_1),com.jrefinery.chart.demo.TimerThread,com.jrefinery.chart.demo.jdbc.swing.swingdemo.jbInit.(Anon_1),com.jrefinery.chart.demo.jdbc.swing.swingdemo.setupGlassPane.(Anon_2),com.jrefinery.chart.ui.LegendPropertyEditPanel,com.jrefinery.chart.ui.NumberAxisPropertyEditPanel,com.jrefinery.chart.demo.jdbc.swing.swingdemo.RefreshChartDataThread,com.jrefinery.chart.AbstractTitle,com.jrefinery.chart.Axis,com.jrefinery.chart.BarRenderer,com.jrefinery.chart.CategoryAxis,com.jrefinery.chart.CategoryPlot,com.jrefinery.chart.DateAxis,com.jrefinery.chart.Legend,com.jrefinery.chart.LegendTitle,com.jrefinery.chart.NumberAxis,com.jrefinery.chart.Plot,com.jrefinery.chart.TickUnit,com.jrefinery.chart.ValueAxis,com.jrefinery.chart.WindAxis,com.jrefinery.chart.combination.AbstractAxisRange,com.jrefinery.chart.AxisNotCompatibleException,com.jrefinery.chart.CandlestickRenderer,com.jrefinery.chart.ChartFactory,com.jrefinery.chart.ChartUtilities,com.jrefinery.chart.CrosshairInfo,com.jrefinery.chart.DateTitle,com.jrefinery.chart.DateUnit,com.jrefinery.chart.DrawInfo,com.jrefinery.chart.HighLow,com.jrefinery.chart.HighLowRenderer,com.jrefinery.chart.HorizontalBarRenderer,com.jrefinery.chart.HorizontalCategoryAxis,com.jrefinery.chart.HorizontalCategoryPlot,com.jrefinery.chart.HorizontalDateAxis,com.jrefinery.chart.HorizontalIntervalBarRenderer,com.jrefinery.chart.HorizontalNumberAxis,com.jrefinery.chart.ImageTitle,com.jrefinery.chart.JFreeChart,com.jrefinery.chart.JFreeChartFrame,com.jrefinery.chart.JFreeChartPanel,com.jrefinery.chart.LegendItem,com.jrefinery.chart.LegendItemCollection,com.jrefinery.chart.LineAndShapeRenderer,com.jrefinery.chart.NumberTickUnit,com.jrefinery.chart.PeriodMarkerPlot,com.jrefinery.chart.PiePlot,com.jrefinery.chart.PlotException,com.jrefinery.chart.PlotNotCompatibleException,com.jrefinery.chart.SignalRenderer,com.jrefinery.chart.Spacer,com.jrefinery.chart.StackedHorizontalBarRenderer,com.jrefinery.chart.StackedVerticalBarRenderer,com.jrefinery.chart.StackedVerticalBarRenderer3D,com.jrefinery.chart.StandardLegend,com.jrefinery.chart.StandardLegendItemLayout,com.jrefinery.chart.StandardXYItemRenderer,com.jrefinery.chart.TextTitle,com.jrefinery.chart.Tick,com.jrefinery.chart.TickUnits,com.jrefinery.chart.VerticalBarRenderer,com.jrefinery.chart.VerticalBarRenderer3D,com.jrefinery.chart.VerticalCategoryAxis,com.jrefinery.chart.VerticalCategoryPlot,com.jrefinery.chart.VerticalLogarithmicAxis,com.jrefinery.chart.VerticalNumberAxis,com.jrefinery.chart.VerticalNumberAxis3D,com.jrefinery.chart.VerticalXYBarRenderer,com.jrefinery.chart.WindItemRenderer,com.jrefinery.chart.XYPlot,com.jrefinery.chart.combination.CombinedChart,com.jrefinery.chart.combination.CombinedHorizontalDateAxis,com.jrefinery.chart.combination.CombinedHorizontalNumberAxis,com.jrefinery.chart.combination.CombinedPlot,com.jrefinery.chart.combination.CombinedVerticalNumberAxis,com.jrefinery.chart.combination.DateAxisRange,com.jrefinery.chart.combination.NumberAxisRange,com.jrefinery.chart.combination.OverlaidHorizontalDateAxis,com.jrefinery.chart.combination.OverlaidHorizontalNumberAxis,com.jrefinery.chart.combination.OverlaidPlot,com.jrefinery.chart.combination.OverlaidVerticalNumberAxis,com.jrefinery.chart.data.LinearPlotFitAlgorithm,com.jrefinery.chart.data.MovingAveragePlotFitAlgorithm,com.jrefinery.chart.data.PlotFit,com.jrefinery.chart.demo.DemoDatasetFactory,com.jrefinery.chart.demo.DescriptionPanel,com.jrefinery.chart.demo.EmptyXYDataset,com.jrefinery.chart.demo.First,com.jrefinery.chart.demo.JFreeChartAppletDemo,com.jrefinery.chart.demo.JFreeChartDemo,com.jrefinery.chart.demo.JFreeChartDemo2,com.jrefinery.chart.demo.JFreeChartDemo3,com.jrefinery.chart.demo.JFreeChartServletDemo,com.jrefinery.chart.demo.Performance,com.jrefinery.chart.demo.Performance2,com.jrefinery.chart.demo.SampleSignalDataset,com.jrefinery.chart.demo.SampleXYDataset,com.jrefinery.chart.demo.SampleXYDataset2,com.jrefinery.chart.demo.SampleXYDatasetThread,com.jrefinery.chart.demo.jdbc.servlet.BaseImageServlet,com.jrefinery.chart.demo.jdbc.servlet.ImageDataAvailable,com.jrefinery.chart.demo.jdbc.servlet.ImageSelectSQL,com.jrefinery.chart.demo.jdbc.swing.dbConnection,com.jrefinery.chart.demo.jdbc.swing.swingdemo,com.jrefinery.chart.demo.resources.JFreeChartDemoResources,com.jrefinery.chart.event.AxisChangeEvent,com.jrefinery.chart.event.ChartChangeEvent,com.jrefinery.chart.event.LegendChangeEvent,com.jrefinery.chart.event.PlotChangeEvent,com.jrefinery.chart.event.TitleChangeEvent,com.jrefinery.chart.jdbc.JDBCChartAdapter,com.jrefinery.chart.tooltips.StandardCategoryToolTipGenerator,com.jrefinery.chart.tooltips.StandardHighLowToolTipGenerator,com.jrefinery.chart.tooltips.StandardPieToolTipGenerator,com.jrefinery.chart.tooltips.StandardToolTipsCollection,com.jrefinery.chart.tooltips.StandardXYToolTipGenerator,com.jrefinery.chart.tooltips.ToolTip,com.jrefinery.chart.ui.AxisPropertyEditPanel,com.jrefinery.chart.ui.ChartPropertyEditPanel,com.jrefinery.chart.ui.PlotPropertyEditPanel,com.jrefinery.chart.ui.TitlePropertyEditPanel,com.jrefinery.chart.AxisConstants,com.jrefinery.chart.CategoryItemRenderer,com.jrefinery.chart.HorizontalAxis,com.jrefinery.chart.HorizontalValuePlot,com.jrefinery.chart.JFreeChartConstants,com.jrefinery.chart.JFreeChartInfo,com.jrefinery.chart.LegendItemLayout,com.jrefinery.chart.VerticalAxis,com.jrefinery.chart.VerticalValuePlot,com.jrefinery.chart.XYItemRenderer,com.jrefinery.chart.combination.AxisRange,com.jrefinery.chart.combination.CombinableAxis,com.jrefinery.chart.data.PlotFitAlgorithm,com.jrefinery.chart.demo.jdbc.servlet.Constants,com.jrefinery.chart.event.AxisChangeListener,com.jrefinery.chart.event.ChartChangeListener,com.jrefinery.chart.event.LegendChangeListener,com.jrefinery.chart.event.PlotChangeListener,com.jrefinery.chart.event.TitleChangeListener,com.jrefinery.chart.tooltips.CategoryToolTipGenerator,com.jrefinery.chart.tooltips.HighLowToolTipGenerator,com.jrefinery.chart.tooltips.PieToolTipGenerator,com.jrefinery.chart.tooltips.ToolTipGenerator,com.jrefinery.chart.tooltips.ToolTipsCollection,com.jrefinery.chart.tooltips.XYToolTipGenerator}
@attribute CountClassCoupled numeric
@attribute CountDeclMethod numeric
@attribute PercentLackOfCohesion numeric
@attribute Date date 'yyyy-MM-dd'

@data
Class,com.jrefinery.chart.combination.CombinedPlot.ChartInfo,2,1,0,2002-03-25
Class,com.jrefinery.chart.data.ArrayHolder,0,2,0,2002-03-25
Class,com.jrefinery.chart.demo.JFreeChartDemo.JFreeChartDemo.(Anon_1),3,1,0,2002-03-25
Class,com.jrefinery.chart.demo.TimerThread,5,2,0,2002-03-25
Class,com.jrefinery.chart.demo.jdbc.swing.swingdemo.jbInit.(Anon_1),2,1,0,2002-03-25
Class,com.jrefinery.chart.demo.jdbc.swing.swingdemo.setupGlassPane.(Anon_2),1,5,0,2002-03-25
Class,com.jrefinery.chart.ui.LegendPropertyEditPanel,16,13,78,2002-03-25
Class,com.jrefinery.chart.ui.NumberAxisPropertyEditPanel,21,13,72,2002-03-25
'Protected Class',com.jrefinery.chart.demo.jdbc.swing.swingdemo.RefreshChartDataThread,16,1,0,2002-03-25
'Public Abstract Class',com.jrefinery.chart.AbstractTitle,11,23,93,2002-03-25
'Public Abstract Class',com.jrefinery.chart.Axis,20,33,91,2002-03-25
'Public Abstract Class',com.jrefinery.chart.BarRenderer,4,4,78,2002-03-25
'Public Abstract Class',com.jrefinery.chart.CategoryAxis,5,2,0,2002-03-25
'Public Abstract Class',com.jrefinery.chart.CategoryPlot,14,21,91,2002-03-25
'Public Abstract Class',com.jrefinery.chart.DateAxis,11,22,87,2002-03-25
'Public Abstract Class',com.jrefinery.chart.Legend,9,8,85,2002-03-25
'Public Abstract Class',com.jrefinery.chart.LegendTitle,6,4,75,2002-03-25
'Public Abstract Class',com.jrefinery.chart.NumberAxis,15,22,89,2002-03-25
'Public Abstract Class',com.jrefinery.chart.Plot,33,44,93,2002-03-25
'Public Abstract Class',com.jrefinery.chart.TickUnit,1,3,33,2002-03-25
'Public Abstract Class',com.jrefinery.chart.ValueAxis,10,33,93,2002-03-25
'Public Abstract Class',com.jrefinery.chart.WindAxis,9,14,76,2002-03-25
'Public Abstract Class',com.jrefinery.chart.combination.AbstractAxisRange,1,7,42,2002-03-25
'Public Class',com.jrefinery.chart.AxisNotCompatibleException,1,1,0,2002-03-25
'Public Class',com.jrefinery.chart.CandlestickRenderer,15,2,0,2002-03-25
'Public Class',com.jrefinery.chart.ChartFactory,35,21,0,2002-03-25
'Public Class',com.jrefinery.chart.ChartUtilities,12,4,0,2002-03-25
'Public Class',com.jrefinery.chart.CrosshairInfo,1,9,64,2002-03-25
'Public Class',com.jrefinery.chart.DateTitle,7,5,0,2002-03-25
'Public Class',com.jrefinery.chart.DateUnit,2,4,25,2002-03-25
'Public Class',com.jrefinery.chart.DrawInfo,3,11,63,2002-03-25
'Public Class',com.jrefinery.chart.HighLow,6,13,82,2002-03-25
'Public Class',com.jrefinery.chart.HighLowRenderer,13,2,0,2002-03-25
'Public Class',com.jrefinery.chart.HorizontalBarRenderer,11,4,0,2002-03-25
'Public Class',com.jrefinery.chart.HorizontalCategoryAxis,20,12,41,2002-03-25
'Public Class',com.jrefinery.chart.HorizontalCategoryPlot,32,16,0,2002-03-25
'Public Class',com.jrefinery.chart.HorizontalDateAxis,28,19,57,2002-03-25
'Public Class',com.jrefinery.chart.HorizontalIntervalBarRenderer,11,5,0,2002-03-25
'Public Class',com.jrefinery.chart.HorizontalNumberAxis,26,16,50,2002-03-25
'Public Class',com.jrefinery.chart.ImageTitle,8,10,66,2002-03-25
'Public Class',com.jrefinery.chart.JFreeChart,35,33,88,2002-03-25
'Public Class',com.jrefinery.chart.JFreeChartFrame,4,3,33,2002-03-25
'Public Class',com.jrefinery.chart.JFreeChartPanel,34,26,89,2002-03-25
'Public Class',com.jrefinery.chart.LegendItem,4,11,83,2002-03-25
'Public Class',com.jrefinery.chart.LegendItemCollection,6,5,19,2002-03-25
'Public Class',com.jrefinery.chart.LineAndShapeRenderer,9,5,70,2002-03-25
'Public Class',com.jrefinery.chart.NumberTickUnit,2,2,50,2002-03-25
'Public Class',com.jrefinery.chart.PeriodMarkerPlot,27,14,0,2002-03-25
'Public Class',com.jrefinery.chart.PiePlot,39,31,91,2002-03-25
'Public Class',com.jrefinery.chart.PlotException,1,1,0,2002-03-25
'Public Class',com.jrefinery.chart.PlotNotCompatibleException,1,1,0,2002-03-25
'Public Class',com.jrefinery.chart.SignalRenderer,17,2,50,2002-03-25
'Public Class',com.jrefinery.chart.Spacer,0,7,36,2002-03-25
'Public Class',com.jrefinery.chart.StackedHorizontalBarRenderer,11,5,0,2002-03-25
'Public Class',com.jrefinery.chart.StackedVerticalBarRenderer,11,4,0,2002-03-25
'Public Class',com.jrefinery.chart.StackedVerticalBarRenderer3D,16,4,0,2002-03-25
'Public Class',com.jrefinery.chart.StandardLegend,23,16,80,2002-03-25
'Public Class',com.jrefinery.chart.StandardLegendItemLayout,4,4,56,2002-03-25
'Public Class',com.jrefinery.chart.StandardXYItemRenderer,13,5,62,2002-03-25
'Public Class',com.jrefinery.chart.TextTitle,13,16,75,2002-03-25
'Public Class',com.jrefinery.chart.Tick,3,6,66,2002-03-25
'Public Class',com.jrefinery.chart.TickUnits,10,6,50,2002-03-25
'Public Class',com.jrefinery.chart.VerticalBarRenderer,11,4,0,2002-03-25
'Public Class',com.jrefinery.chart.VerticalBarRenderer3D,16,4,0,2002-03-25
'Public Class',com.jrefinery.chart.VerticalCategoryAxis,20,10,65,2002-03-25
'Public Class',com.jrefinery.chart.VerticalCategoryPlot,31,18,0,2002-03-25
'Public Class',com.jrefinery.chart.VerticalLogarithmicAxis,19,11,0,2002-03-25
'Public Class',com.jrefinery.chart.VerticalNumberAxis,26,16,62,2002-03-25
'Public Class',com.jrefinery.chart.VerticalNumberAxis3D,16,6,66,2002-03-25
'Public Class',com.jrefinery.chart.VerticalXYBarRenderer,12,2,0,2002-03-25
'Public Class',com.jrefinery.chart.WindItemRenderer,18,2,0,2002-03-25
'Public Class',com.jrefinery.chart.XYPlot,37,27,90,2002-03-25
'Public Class',com.jrefinery.chart.combination.CombinedChart,5,6,0,2002-03-25
'Public Class',com.jrefinery.chart.combination.CombinedHorizontalDateAxis,13,10,43,2002-03-25
'Public Class',com.jrefinery.chart.combination.CombinedHorizontalNumberAxis,14,10,53,2002-03-25
'Public Class',com.jrefinery.chart.combination.CombinedPlot,35,35,84,2002-03-25
'Public Class',com.jrefinery.chart.combination.CombinedVerticalNumberAxis,14,11,63,2002-03-25
'Public Class',com.jrefinery.chart.combination.DateAxisRange,1,2,0,2002-03-25
'Public Class',com.jrefinery.chart.combination.NumberAxisRange,1,2,0,2002-03-25
'Public Class',com.jrefinery.chart.combination.OverlaidHorizontalDateAxis,9,6,33,2002-03-25
'Public Class',com.jrefinery.chart.combination.OverlaidHorizontalNumberAxis,9,6,33,2002-03-25
'Public Class',com.jrefinery.chart.combination.OverlaidPlot,1,1,0,2002-03-25
'Public Class',com.jrefinery.chart.combination.OverlaidVerticalNumberAxis,9,6,33,2002-03-25
'Public Class',com.jrefinery.chart.data.LinearPlotFitAlgorithm,4,3,50,2002-03-25
'Public Class',com.jrefinery.chart.data.MovingAveragePlotFitAlgorithm,5,4,58,2002-03-25
