@relation 0.9.0

@attribute Kind {Class,'Protected Class','Public Abstract Class','Public Class','Public Interface'}
@attribute Name {com.jrefinery.chart.data.ArrayHolder,com.jrefinery.chart.demo.JFreeChartDemo.JFreeChartDemo.(Anon_1),com.jrefinery.chart.demo.MultiShapesXYDemo.DemoRenderer,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_1),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_10),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_11),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_2),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_3),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_4),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_5),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_6),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_7),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_8),com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_9),com.jrefinery.chart.demo.TimerThread,com.jrefinery.chart.demo.jdbc.swing.swingdemo.jbInit.(Anon_1),com.jrefinery.chart.demo.jdbc.swing.swingdemo.setupGlassPane.(Anon_2),com.jrefinery.chart.ui.LegendPropertyEditPanel,com.jrefinery.chart.ui.NumberAxisPropertyEditPanel,com.jrefinery.chart.demo.jdbc.swing.swingdemo.RefreshChartDataThread,com.jrefinery.chart.AbstractCategoryItemRenderer,com.jrefinery.chart.AbstractTitle,com.jrefinery.chart.AbstractXYItemRenderer,com.jrefinery.chart.Axis,com.jrefinery.chart.BarRenderer,com.jrefinery.chart.CategoryAxis,com.jrefinery.chart.CategoryPlot,com.jrefinery.chart.DateAxis,com.jrefinery.chart.Legend,com.jrefinery.chart.LegendTitle,com.jrefinery.chart.NumberAxis,com.jrefinery.chart.Plot,com.jrefinery.chart.TickUnit,com.jrefinery.chart.ValueAxis,com.jrefinery.chart.WindAxis,com.jrefinery.chart.AreaCategoryItemRenderer,com.jrefinery.chart.AreaXYItemRenderer,com.jrefinery.chart.AxisNotCompatibleException,com.jrefinery.chart.CandlestickRenderer,com.jrefinery.chart.ChartFactory,com.jrefinery.chart.ChartFrame,com.jrefinery.chart.ChartMouseEvent,com.jrefinery.chart.ChartPanel,com.jrefinery.chart.ChartRenderingInfo,com.jrefinery.chart.ChartUtilities,com.jrefinery.chart.CombinedXYPlot,com.jrefinery.chart.CrosshairInfo,com.jrefinery.chart.DateTickUnit,com.jrefinery.chart.DateTitle,com.jrefinery.chart.DateUnit,com.jrefinery.chart.DefaultShapeFactory,com.jrefinery.chart.HighLow,com.jrefinery.chart.HighLowRenderer,com.jrefinery.chart.HorizontalBarRenderer,com.jrefinery.chart.HorizontalBarRenderer3D,com.jrefinery.chart.HorizontalCategoryAxis,com.jrefinery.chart.HorizontalCategoryPlot,com.jrefinery.chart.HorizontalDateAxis,com.jrefinery.chart.HorizontalIntervalBarRenderer,com.jrefinery.chart.HorizontalLogarithmicAxis,com.jrefinery.chart.HorizontalNumberAxis,com.jrefinery.chart.HorizontalNumberAxis3D,com.jrefinery.chart.HorizontalSymbolicAxis,com.jrefinery.chart.ImageTitle,com.jrefinery.chart.JFreeChart,com.jrefinery.chart.JThermometer,com.jrefinery.chart.LegendItem,com.jrefinery.chart.LegendItemCollection,com.jrefinery.chart.LineAndShapeRenderer,com.jrefinery.chart.Marker,com.jrefinery.chart.MeterLegend,com.jrefinery.chart.MeterPlot,com.jrefinery.chart.NumberTickUnit,com.jrefinery.chart.OverlaidVerticalCategoryPlot,com.jrefinery.chart.OverlaidXYPlot,com.jrefinery.chart.PeriodMarkerPlot,com.jrefinery.chart.PiePlot,com.jrefinery.chart.PlotException,com.jrefinery.chart.PlotNotCompatibleException,com.jrefinery.chart.SeriesShapeFactory,com.jrefinery.chart.SignalRenderer,com.jrefinery.chart.Spacer,com.jrefinery.chart.StackedHorizontalBarRenderer,com.jrefinery.chart.StackedVerticalBarRenderer,com.jrefinery.chart.StackedVerticalBarRenderer3D,com.jrefinery.chart.StandardLegend,com.jrefinery.chart.StandardLegendItemLayout,com.jrefinery.chart.StandardXYItemRenderer,com.jrefinery.chart.TextTitle,com.jrefinery.chart.ThermometerPlot,com.jrefinery.chart.Tick,com.jrefinery.chart.TickUnits,com.jrefinery.chart.VerticalBarRenderer,com.jrefinery.chart.VerticalBarRenderer3D,com.jrefinery.chart.VerticalCategoryAxis,com.jrefinery.chart.VerticalCategoryPlot,com.jrefinery.chart.VerticalIntervalBarRenderer,com.jrefinery.chart.VerticalLogarithmicAxis,com.jrefinery.chart.VerticalNumberAxis,com.jrefinery.chart.VerticalNumberAxis3D,com.jrefinery.chart.VerticalSymbolicAxis,com.jrefinery.chart.VerticalXYBarRenderer,com.jrefinery.chart.WindItemRenderer,com.jrefinery.chart.XYPlot,com.jrefinery.chart.XYStepRenderer,com.jrefinery.chart.data.LinearPlotFitAlgorithm,com.jrefinery.chart.data.MovingAveragePlotFitAlgorithm,com.jrefinery.chart.data.PlotFit,com.jrefinery.chart.demo.AreaChartDemo,com.jrefinery.chart.demo.CombinedXYPlotDemo,com.jrefinery.chart.demo.DemoDatasetFactory,com.jrefinery.chart.demo.DescriptionPanel,com.jrefinery.chart.demo.DynamicDataDemo,com.jrefinery.chart.demo.EmptyXYDataset,com.jrefinery.chart.demo.First,com.jrefinery.chart.demo.GanttDemo,com.jrefinery.chart.demo.HorizontalBar3DDemo,com.jrefinery.chart.demo.IntervalBarChartDemo,com.jrefinery.chart.demo.JFreeChartAppletDemo,com.jrefinery.chart.demo.JFreeChartDemo,com.jrefinery.chart.demo.JFreeChartDemo2,com.jrefinery.chart.demo.JFreeChartDemo3,com.jrefinery.chart.demo.JFreeChartServletDemo,com.jrefinery.chart.demo.LineChartDemo1,com.jrefinery.chart.demo.LineChartDemo2,com.jrefinery.chart.demo.MeterPlotDemo,com.jrefinery.chart.demo.MouseListenerDemo1,com.jrefinery.chart.demo.MouseListenerDemo2,com.jrefinery.chart.demo.MultiShapesXYDemo,com.jrefinery.chart.demo.OverlaidCategoryChartDemo,com.jrefinery.chart.demo.OverlaidPlotDemo,com.jrefinery.chart.demo.Performance,com.jrefinery.chart.demo.Performance2,com.jrefinery.chart.demo.PieChartDemo1,com.jrefinery.chart.demo.PriceVolumeDemo,com.jrefinery.chart.demo.SampleSignalDataset,com.jrefinery.chart.demo.SampleXYDataset,com.jrefinery.chart.demo.SampleXYDataset2,com.jrefinery.chart.demo.SampleXYDatasetThread,com.jrefinery.chart.demo.SampleXYSymbolicDataset,com.jrefinery.chart.demo.SampleYSymbolicDataset,com.jrefinery.chart.demo.Second,com.jrefinery.chart.demo.SymbolicXYPlotDemo,com.jrefinery.chart.demo.SymbolicYPlotDemo,com.jrefinery.chart.demo.ThermometerDemo,com.jrefinery.chart.demo.TimeSeriesDemo,com.jrefinery.chart.demo.TimeSeriesDemo2,com.jrefinery.chart.demo.VerticalBar3DDemo,com.jrefinery.chart.demo.XYSeriesDemo,com.jrefinery.chart.demo.XYStepChartDemo,com.jrefinery.chart.demo.jdbc.servlet.BaseImageServlet,com.jrefinery.chart.demo.jdbc.servlet.ImageDataAvailable,com.jrefinery.chart.demo.jdbc.servlet.ImageDemoPie,com.jrefinery.chart.demo.jdbc.servlet.ImageSelectSQL,com.jrefinery.chart.demo.jdbc.swing.dbConnection,com.jrefinery.chart.demo.jdbc.swing.swingdemo,com.jrefinery.chart.demo.resources.DemoResources,com.jrefinery.chart.demo.resources.DemoResources_de,com.jrefinery.chart.demo.resources.DemoResources_es,com.jrefinery.chart.demo.resources.DemoResources_fr,com.jrefinery.chart.demo.resources.DemoResources_pl,com.jrefinery.chart.entity.CategoryItemEntity,com.jrefinery.chart.entity.ChartEntity,com.jrefinery.chart.entity.PieSectionEntity,com.jrefinery.chart.entity.StandardEntityCollection,com.jrefinery.chart.entity.XYItemEntity,com.jrefinery.chart.event.AxisChangeEvent,com.jrefinery.chart.event.ChartChangeEvent,com.jrefinery.chart.event.LegendChangeEvent,com.jrefinery.chart.event.PlotChangeEvent,com.jrefinery.chart.event.TitleChangeEvent,com.jrefinery.chart.tooltips.HighLowToolTipGenerator,com.jrefinery.chart.tooltips.StandardCategoryToolTipGenerator,com.jrefinery.chart.tooltips.StandardPieToolTipGenerator,com.jrefinery.chart.tooltips.StandardToolTipsCollection,com.jrefinery.chart.tooltips.StandardXYToolTipGenerator,com.jrefinery.chart.tooltips.SymbolicXYToolTipGenerator,com.jrefinery.chart.tooltips.TimeSeriesToolTipGenerator,com.jrefinery.chart.tooltips.ToolTip,com.jrefinery.chart.ui.AxisPropertyEditPanel,com.jrefinery.chart.ui.ChartPropertyEditPanel,com.jrefinery.chart.ui.PlotPropertyEditPanel,com.jrefinery.chart.ui.TitlePropertyEditPanel,com.jrefinery.chart.AxisConstants,com.jrefinery.chart.CategoryItemRenderer,com.jrefinery.chart.CategoryPlotConstants,com.jrefinery.chart.ChartMouseListener,com.jrefinery.chart.ChartPanelConstants,com.jrefinery.chart.HorizontalAxis,com.jrefinery.chart.HorizontalValuePlot,com.jrefinery.chart.JFreeChartConstants,com.jrefinery.chart.JFreeChartInfo,com.jrefinery.chart.LegendItemLayout,com.jrefinery.chart.ShapeFactory,com.jrefinery.chart.VerticalAxis,com.jrefinery.chart.VerticalValuePlot,com.jrefinery.chart.XYItemRenderer,com.jrefinery.chart.data.PlotFitAlgorithm,com.jrefinery.chart.demo.jdbc.servlet.Constants,com.jrefinery.chart.entity.EntityCollection,com.jrefinery.chart.event.AxisChangeListener,com.jrefinery.chart.event.ChartChangeListener,com.jrefinery.chart.event.LegendChangeListener,com.jrefinery.chart.event.PlotChangeListener,com.jrefinery.chart.event.TitleChangeListener,com.jrefinery.chart.tooltips.CategoryToolTipGenerator,com.jrefinery.chart.tooltips.PieToolTipGenerator,com.jrefinery.chart.tooltips.ToolTipGenerator,com.jrefinery.chart.tooltips.ToolTipsCollection,com.jrefinery.chart.tooltips.XYToolTipGenerator}
@attribute CountClassCoupled numeric
@attribute CountDeclMethod numeric
@attribute PercentLackOfCohesion numeric
@attribute Date date 'yyyy-MM-dd'

@data
Class,com.jrefinery.chart.data.ArrayHolder,0,2,0,2002-06-07
Class,com.jrefinery.chart.demo.JFreeChartDemo.JFreeChartDemo.(Anon_1),3,1,0,2002-06-07
Class,com.jrefinery.chart.demo.MultiShapesXYDemo.DemoRenderer,11,7,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_1),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_10),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_11),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_2),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_3),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_4),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_5),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_6),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_7),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_8),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.ThermometerDemo.jbInit.(Anon_9),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.TimerThread,5,2,0,2002-06-07
Class,com.jrefinery.chart.demo.jdbc.swing.swingdemo.jbInit.(Anon_1),2,1,0,2002-06-07
Class,com.jrefinery.chart.demo.jdbc.swing.swingdemo.setupGlassPane.(Anon_2),1,5,0,2002-06-07
Class,com.jrefinery.chart.ui.LegendPropertyEditPanel,16,13,78,2002-06-07
Class,com.jrefinery.chart.ui.NumberAxisPropertyEditPanel,21,13,72,2002-06-07
'Protected Class',com.jrefinery.chart.demo.jdbc.swing.swingdemo.RefreshChartDataThread,15,1,0,2002-06-07
'Public Abstract Class',com.jrefinery.chart.AbstractCategoryItemRenderer,8,9,77,2002-06-07
'Public Abstract Class',com.jrefinery.chart.AbstractTitle,11,23,93,2002-06-07
'Public Abstract Class',com.jrefinery.chart.AbstractXYItemRenderer,8,8,66,2002-06-07
'Public Abstract Class',com.jrefinery.chart.Axis,18,36,92,2002-06-07
'Public Abstract Class',com.jrefinery.chart.BarRenderer,6,6,85,2002-06-07
'Public Abstract Class',com.jrefinery.chart.CategoryAxis,5,2,0,2002-06-07
'Public Abstract Class',com.jrefinery.chart.CategoryPlot,21,36,91,2002-06-07
'Public Abstract Class',com.jrefinery.chart.DateAxis,12,21,91,2002-06-07
'Public Abstract Class',com.jrefinery.chart.Legend,9,8,85,2002-06-07
'Public Abstract Class',com.jrefinery.chart.LegendTitle,6,4,75,2002-06-07
'Public Abstract Class',com.jrefinery.chart.NumberAxis,14,21,89,2002-06-07
'Public Abstract Class',com.jrefinery.chart.Plot,25,46,94,2002-06-07
'Public Abstract Class',com.jrefinery.chart.TickUnit,1,4,25,2002-06-07
'Public Abstract Class',com.jrefinery.chart.ValueAxis,11,41,94,2002-06-07
'Public Abstract Class',com.jrefinery.chart.WindAxis,9,14,76,2002-06-07
'Public Class',com.jrefinery.chart.AreaCategoryItemRenderer,12,2,0,2002-06-07
'Public Class',com.jrefinery.chart.AreaXYItemRenderer,19,10,81,2002-06-07
'Public Class',com.jrefinery.chart.AxisNotCompatibleException,1,1,0,2002-06-07
'Public Class',com.jrefinery.chart.CandlestickRenderer,26,12,64,2002-06-07
'Public Class',com.jrefinery.chart.ChartFactory,41,20,0,2002-06-07
'Public Class',com.jrefinery.chart.ChartFrame,4,3,33,2002-06-07
'Public Class',com.jrefinery.chart.ChartMouseEvent,2,3,33,2002-06-07
'Public Class',com.jrefinery.chart.ChartPanel,47,46,93,2002-06-07
'Public Class',com.jrefinery.chart.ChartRenderingInfo,4,13,69,2002-06-07
'Public Class',com.jrefinery.chart.ChartUtilities,12,4,0,2002-06-07
'Public Class',com.jrefinery.chart.CombinedXYPlot,18,12,61,2002-06-07
'Public Class',com.jrefinery.chart.CrosshairInfo,1,9,64,2002-06-07
'Public Class',com.jrefinery.chart.DateTickUnit,3,2,85,2002-06-07
'Public Class',com.jrefinery.chart.DateTitle,7,5,0,2002-06-07
'Public Class',com.jrefinery.chart.DateUnit,2,4,25,2002-06-07
'Public Class',com.jrefinery.chart.DefaultShapeFactory,5,2,0,2002-06-07
'Public Class',com.jrefinery.chart.HighLow,8,14,83,2002-06-07
'Public Class',com.jrefinery.chart.HighLowRenderer,17,3,0,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalBarRenderer,20,7,0,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalBarRenderer3D,22,9,66,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalCategoryAxis,28,14,67,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalCategoryPlot,26,15,0,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalDateAxis,27,19,57,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalIntervalBarRenderer,17,7,0,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalLogarithmicAxis,17,14,78,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalNumberAxis,26,17,52,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalNumberAxis3D,23,10,76,2002-06-07
'Public Class',com.jrefinery.chart.HorizontalSymbolicAxis,25,15,82,2002-06-07
'Public Class',com.jrefinery.chart.ImageTitle,8,10,66,2002-06-07
'Public Class',com.jrefinery.chart.JFreeChart,34,31,88,2002-06-07
'Public Class',com.jrefinery.chart.JThermometer,16,19,68,2002-06-07
'Public Class',com.jrefinery.chart.LegendItem,4,11,83,2002-06-07
'Public Class',com.jrefinery.chart.LegendItemCollection,6,5,19,2002-06-07
'Public Class',com.jrefinery.chart.LineAndShapeRenderer,25,7,77,2002-06-07
'Public Class',com.jrefinery.chart.Marker,1,5,60,2002-06-07
'Public Class',com.jrefinery.chart.MeterLegend,26,8,78,2002-06-07
'Public Class',com.jrefinery.chart.MeterPlot,34,35,95,2002-06-07
'Public Class',com.jrefinery.chart.NumberTickUnit,2,2,0,2002-06-07
'Public Class',com.jrefinery.chart.OverlaidVerticalCategoryPlot,16,11,54,2002-06-07
'Public Class',com.jrefinery.chart.OverlaidXYPlot,12,10,55,2002-06-07
'Public Class',com.jrefinery.chart.PeriodMarkerPlot,26,15,0,2002-06-07
'Public Class',com.jrefinery.chart.PiePlot,38,33,92,2002-06-07
'Public Class',com.jrefinery.chart.PlotException,1,1,0,2002-06-07
'Public Class',com.jrefinery.chart.PlotNotCompatibleException,1,1,0,2002-06-07
'Public Class',com.jrefinery.chart.SeriesShapeFactory,6,4,75,2002-06-07
'Public Class',com.jrefinery.chart.SignalRenderer,21,2,50,2002-06-07
'Public Class',com.jrefinery.chart.Spacer,0,7,36,2002-06-07
'Public Class',com.jrefinery.chart.StackedHorizontalBarRenderer,16,6,0,2002-06-07
'Public Class',com.jrefinery.chart.StackedVerticalBarRenderer,15,4,0,2002-06-07
'Public Class',com.jrefinery.chart.StackedVerticalBarRenderer3D,20,4,0,2002-06-07
'Public Class',com.jrefinery.chart.StandardLegend,24,16,80,2002-06-07
'Public Class',com.jrefinery.chart.StandardLegendItemLayout,4,4,56,2002-06-07
'Public Class',com.jrefinery.chart.StandardXYItemRenderer,23,12,84,2002-06-07
'Public Class',com.jrefinery.chart.TextTitle,13,16,75,2002-06-07
'Public Class',com.jrefinery.chart.ThermometerPlot,33,46,95,2002-06-07
'Public Class',com.jrefinery.chart.Tick,3,6,66,2002-06-07
'Public Class',com.jrefinery.chart.TickUnits,7,7,42,2002-06-07
'Public Class',com.jrefinery.chart.VerticalBarRenderer,20,7,0,2002-06-07
'Public Class',com.jrefinery.chart.VerticalBarRenderer3D,26,9,66,2002-06-07
'Public Class',com.jrefinery.chart.VerticalCategoryAxis,20,10,65,2002-06-07
'Public Class',com.jrefinery.chart.VerticalCategoryPlot,27,17,0,2002-06-07
'Public Class',com.jrefinery.chart.VerticalIntervalBarRenderer,24,8,81,2002-06-07
'Public Class',com.jrefinery.chart.VerticalLogarithmicAxis,16,11,77,2002-06-07
'Public Class',com.jrefinery.chart.VerticalNumberAxis,26,16,62,2002-06-07
'Public Class',com.jrefinery.chart.VerticalNumberAxis3D,17,6,66,2002-06-07
'Public Class',com.jrefinery.chart.VerticalSymbolicAxis,25,15,82,2002-06-07
'Public Class',com.jrefinery.chart.VerticalXYBarRenderer,17,6,58,2002-06-07
'Public Class',com.jrefinery.chart.WindItemRenderer,17,2,0,2002-06-07
'Public Class',com.jrefinery.chart.XYPlot,33,40,91,2002-06-07
'Public Class',com.jrefinery.chart.XYStepRenderer,12,2,0,2002-06-07
'Public Class',com.jrefinery.chart.data.LinearPlotFitAlgorithm,4,3,50,2002-06-07
'Public Class',com.jrefinery.chart.data.MovingAveragePlotFitAlgorithm,5,4,58,2002-06-07
'Public Class',com.jrefinery.chart.data.PlotFit,3,5,19,2002-06-07
'Public Class',com.jrefinery.chart.demo.AreaChartDemo,10,2,50,2002-06-07
'Public Class',com.jrefinery.chart.demo.CombinedXYPlotDemo,11,5,0,2002-06-07
'Public Class',com.jrefinery.chart.demo.DemoDatasetFactory,13,18,94,2002-06-07
'Public Class',com.jrefinery.chart.demo.DescriptionPanel,5,2,50,2002-06-07
'Public Class',com.jrefinery.chart.demo.DynamicDataDemo,15,3,50,2002-06-07
'Public Class',com.jrefinery.chart.demo.EmptyXYDataset,2,6,0,2002-06-07
'Public Class',com.jrefinery.chart.demo.First,6,1,0,2002-06-07
'Public Class',com.jrefinery.chart.demo.GanttDemo,6,4,100,2002-06-07
'Public Class',com.jrefinery.chart.demo.HorizontalBar3DDemo,5,2,100,2002-06-07
'Public Class',com.jrefinery.chart.demo.IntervalBarChartDemo,18,3,60,2002-06-07
'Public Class',com.jrefinery.chart.demo.JFreeChartAppletDemo,5,1,0,2002-06-07
'Public Class',com.jrefinery.chart.demo.JFreeChartDemo,65,44,95,2002-06-07
'Public Class',com.jrefinery.chart.demo.JFreeChartDemo2,9,1,0,2002-06-07
