Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,DATE
Class,org.jfree.chart.JFreeChartInfo,7,2,0,12/02/2005
Class,org.jfree.chart.editor.DefaultAxisEditor,20,17,87,12/02/2005
Class,org.jfree.chart.editor.DefaultChartEditor,19,8,67,12/02/2005
Class,org.jfree.chart.editor.DefaultColorBarEditor,17,5,51,12/02/2005
Class,org.jfree.chart.editor.DefaultNumberAxisEditor,21,13,73,12/02/2005
Class,org.jfree.chart.editor.DefaultPlotEditor,31,15,83,12/02/2005
Class,org.jfree.chart.editor.DefaultTitleEditor,19,10,73,12/02/2005
Class,org.jfree.chart.editor.PaletteChooserPanel,5,2,0,12/02/2005
Class,org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_1),6,3,0,12/02/2005
Class,org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_2),6,3,0,12/02/2005
Class,org.jfree.data.xy.WindDataItem,2,5,53,12/02/2005
Private Class,org.jfree.data.general.CombinedDataset.DatasetInfo,1,1,0,12/02/2005
Private Static Class,org.jfree.chart.axis.DateAxis.DefaultTimeline,1,8,0,12/02/2005
Protected Class,org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange,0,1,0,12/02/2005
Protected Class,org.jfree.chart.axis.SegmentedTimeline.SegmentRange,3,6,66,12/02/2005
Protected Class,org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,1,3,33,12/02/2005
Protected Class,org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,1,4,25,12/02/2005
Protected Static Class,org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,2,1,0,12/02/2005
Protected Static Class,org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,6,14,76,12/02/2005
Public Abstract Class,org.jfree.chart.ChartFactory,92,33,0,12/02/2005
Public Abstract Class,org.jfree.chart.ChartUtilities,24,26,0,12/02/2005
Public Abstract Class,org.jfree.chart.annotations.AbstractXYAnnotation,10,8,50,12/02/2005
Public Abstract Class,org.jfree.chart.axis.Axis,34,56,94,12/02/2005
Public Abstract Class,org.jfree.chart.axis.Tick,3,8,67,12/02/2005
Public Abstract Class,org.jfree.chart.axis.TickUnit,2,6,58,12/02/2005
Public Abstract Class,org.jfree.chart.axis.ValueAxis,30,66,94,12/02/2005
Public Abstract Class,org.jfree.chart.axis.ValueTick,1,3,0,12/02/2005
Public Abstract Class,org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,12,11,65,12/02/2005
Public Abstract Class,org.jfree.chart.needle.MeterNeedle,17,25,83,12/02/2005
Public Abstract Class,org.jfree.chart.plot.ColorPalette,9,26,83,12/02/2005
Public Abstract Class,org.jfree.chart.plot.ContourPlotUtilities,3,1,0,12/02/2005
Public Abstract Class,org.jfree.chart.plot.Marker,12,31,85,12/02/2005
Public Abstract Class,org.jfree.chart.plot.Plot,43,55,94,12/02/2005
Public Abstract Class,org.jfree.chart.renderer.AbstractRenderer,30,151,96,12/02/2005
Public Abstract Class,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,46,51,92,12/02/2005
Public Abstract Class,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,50,50,93,12/02/2005
Public Abstract Class,org.jfree.chart.title.Title,12,20,84,12/02/2005
Public Abstract Class,org.jfree.data.DataUtilities,7,5,0,12/02/2005
Public Abstract Class,org.jfree.data.general.AbstractDataset,15,12,72,12/02/2005
Public Abstract Class,org.jfree.data.general.AbstractSeriesDataset,2,5,100,12/02/2005
Public Abstract Class,org.jfree.data.general.Series,10,18,77,12/02/2005
Public Abstract Class,org.jfree.data.statistics.BoxAndWhiskerCalculator,9,3,0,12/02/2005
Public Abstract Class,org.jfree.data.statistics.Regression,3,4,0,12/02/2005
Public Abstract Class,org.jfree.data.statistics.Statistics,9,11,0,12/02/2005
Public Abstract Class,org.jfree.data.time.RegularTimePeriod,15,17,88,12/02/2005
Public Abstract Class,org.jfree.data.xy.AbstractIntervalXYDataset,2,4,0,12/02/2005
Public Abstract Class,org.jfree.data.xy.AbstractXYDataset,3,3,0,12/02/2005
Public Abstract Class,org.jfree.data.xy.AbstractXYZDataset,2,1,0,12/02/2005
Public Class,org.jfree.chart.ChartColor,0,2,50,12/02/2005
Public Class,org.jfree.chart.ChartFrame,4,3,33,12/02/2005
Public Class,org.jfree.chart.ChartMouseEvent,3,4,62,12/02/2005
Public Class,org.jfree.chart.ChartPanel,53,94,96,12/02/2005
Public Class,org.jfree.chart.ChartRenderingInfo,10,12,68,12/02/2005
Public Class,org.jfree.chart.ClipPath,13,25,80,12/02/2005
Public Class,org.jfree.chart.DrawableLegendItem,4,17,86,12/02/2005
Public Class,org.jfree.chart.JFreeChart,60,66,92,12/02/2005
Public Class,org.jfree.chart.LegendItem,15,28,83,12/02/2005
Public Class,org.jfree.chart.LegendItemCollection,5,8,56,12/02/2005
Public Class,org.jfree.chart.LegendRenderingOrder,2,4,68,12/02/2005
Public Class,org.jfree.chart.PolarChartPanel,10,7,71,12/02/2005
Public Class,org.jfree.chart.annotations.CategoryLineAnnotation,23,19,68,12/02/2005
Public Class,org.jfree.chart.annotations.CategoryTextAnnotation,16,10,62,12/02/2005
Public Class,org.jfree.chart.annotations.TextAnnotation,9,17,84,12/02/2005
Public Class,org.jfree.chart.annotations.XYBoxAnnotation,18,9,56,12/02/2005
Public Class,org.jfree.chart.annotations.XYDrawableAnnotation,12,5,36,12/02/2005
Public Class,org.jfree.chart.annotations.XYImageAnnotation,18,7,64,12/02/2005
Public Class,org.jfree.chart.annotations.XYLineAnnotation,21,8,53,12/02/2005
Public Class,org.jfree.chart.annotations.XYPointerAnnotation,25,22,84,12/02/2005
Public Class,org.jfree.chart.annotations.XYPolygonAnnotation,20,8,55,12/02/2005
Public Class,org.jfree.chart.annotations.XYShapeAnnotation,19,9,53,12/02/2005
Public Class,org.jfree.chart.annotations.XYTextAnnotation,19,23,87,12/02/2005
Public Class,org.jfree.chart.annotations.junit.AnnotationsPackageTests,12,3,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.CategoryLineAnnotationTests,14,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.CategoryTextAnnotationTests,16,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.TextAnnotationTests,8,4,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.XYBoxAnnotationTests,17,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.XYDrawableAnnotationTests,15,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.XYImageAnnotationTests,15,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.XYLineAnnotationTests,18,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.XYPointerAnnotationTests,19,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.XYShapeAnnotationTests,19,6,0,12/02/2005
Public Class,org.jfree.chart.annotations.junit.XYTextAnnotationTests,17,6,0,12/02/2005
Public Class,org.jfree.chart.axis.AxisCollection,4,6,50,12/02/2005
Public Class,org.jfree.chart.axis.AxisLocation,4,5,63,12/02/2005
Public Class,org.jfree.chart.axis.AxisSpace,9,19,49,12/02/2005
Public Class,org.jfree.chart.axis.AxisState,2,13,69,12/02/2005
Public Class,org.jfree.chart.axis.CategoryAnchor,2,4,70,12/02/2005
Public Class,org.jfree.chart.axis.CategoryAxis,39,46,90,12/02/2005
Public Class,org.jfree.chart.axis.CategoryAxis3D,12,5,100,12/02/2005
Public Class,org.jfree.chart.axis.CategoryLabelPosition,2,12,75,12/02/2005
Public Class,org.jfree.chart.axis.CategoryLabelPositions,4,11,81,12/02/2005
Public Class,org.jfree.chart.axis.CategoryLabelWidthType,3,4,68,12/02/2005
Public Class,org.jfree.chart.axis.CategoryTick,1,6,33,12/02/2005
Public Class,org.jfree.chart.axis.ColorBar,23,17,79,12/02/2005
Public Class,org.jfree.chart.axis.CompassFormat,6,5,96,12/02/2005
Public Class,org.jfree.chart.axis.CyclicNumberAxis,35,34,86,12/02/2005
Public Class,org.jfree.chart.axis.DateAxis,39,46,93,12/02/2005
Public Class,org.jfree.chart.axis.DateTick,2,4,0,12/02/2005
Public Class,org.jfree.chart.axis.DateTickMarkPosition,2,4,70,12/02/2005
Public Class,org.jfree.chart.axis.DateTickUnit,5,16,82,12/02/2005
Public Class,org.jfree.chart.axis.ExtendedCategoryAxis,8,7,47,12/02/2005
Public Class,org.jfree.chart.axis.LogarithmicAxis,18,25,85,12/02/2005
Public Class,org.jfree.chart.axis.MarkerAxisBand,21,7,50,12/02/2005
