Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,DATE
Class,org.jfree.chart.JFreeChartInfo,7,2,0,06/02/2005
Class,org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_1),6,3,0,06/02/2005
Class,org.jfree.chart.renderer.category.MinMaxCategoryRenderer.getIcon.(Anon_2),6,3,0,06/02/2005
Class,org.jfree.chart.ui.LegendPropertyEditPanel,19,15,81,06/02/2005
Class,org.jfree.chart.ui.NumberAxisPropertyEditPanel,21,13,73,06/02/2005
Class,org.jfree.data.xy.WindDataItem,2,5,53,06/02/2005
Private Class,org.jfree.data.general.CombinedDataset.DatasetInfo,1,1,0,06/02/2005
Private Static Class,org.jfree.chart.axis.DateAxis.DefaultTimeline,1,8,0,06/02/2005
Protected Class,org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange,0,1,0,06/02/2005
Protected Class,org.jfree.chart.axis.SegmentedTimeline.SegmentRange,3,6,66,06/02/2005
Protected Class,org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,1,3,33,06/02/2005
Protected Class,org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,1,4,25,06/02/2005
Protected Static Class,org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,2,1,0,06/02/2005
Protected Static Class,org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,6,14,76,06/02/2005
Public Abstract Class,org.jfree.chart.ChartFactory,93,34,0,06/02/2005
Public Abstract Class,org.jfree.chart.ChartUtilities,24,26,0,06/02/2005
Public Abstract Class,org.jfree.chart.OldLegend,14,21,88,06/02/2005
Public Abstract Class,org.jfree.chart.annotations.AbstractXYAnnotation,10,8,50,06/02/2005
Public Abstract Class,org.jfree.chart.axis.Axis,34,56,94,06/02/2005
Public Abstract Class,org.jfree.chart.axis.Tick,3,8,67,06/02/2005
Public Abstract Class,org.jfree.chart.axis.TickUnit,1,5,60,06/02/2005
Public Abstract Class,org.jfree.chart.axis.ValueAxis,30,66,94,06/02/2005
Public Abstract Class,org.jfree.chart.axis.ValueTick,1,3,0,06/02/2005
Public Abstract Class,org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,12,11,65,06/02/2005
Public Abstract Class,org.jfree.chart.needle.MeterNeedle,17,25,83,06/02/2005
Public Abstract Class,org.jfree.chart.plot.ContourPlotUtilities,3,1,0,06/02/2005
Public Abstract Class,org.jfree.chart.plot.Marker,12,31,85,06/02/2005
Public Abstract Class,org.jfree.chart.plot.Plot,43,57,94,06/02/2005
Public Abstract Class,org.jfree.chart.renderer.AbstractRenderer,30,151,97,06/02/2005
Public Abstract Class,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,44,50,92,06/02/2005
Public Abstract Class,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,50,50,93,06/02/2005
Public Abstract Class,org.jfree.chart.title.Title,12,20,84,06/02/2005
Public Abstract Class,org.jfree.chart.ui.ColorPalette,9,26,83,06/02/2005
Public Abstract Class,org.jfree.data.DataUtilities,7,5,0,06/02/2005
Public Abstract Class,org.jfree.data.general.AbstractDataset,15,12,72,06/02/2005
Public Abstract Class,org.jfree.data.general.AbstractSeriesDataset,2,5,100,06/02/2005
Public Abstract Class,org.jfree.data.general.Series,10,18,77,06/02/2005
Public Abstract Class,org.jfree.data.statistics.BoxAndWhiskerCalculator,9,3,0,06/02/2005
Public Abstract Class,org.jfree.data.statistics.Regression,3,4,0,06/02/2005
Public Abstract Class,org.jfree.data.statistics.Statistics,9,11,0,06/02/2005
Public Abstract Class,org.jfree.data.time.RegularTimePeriod,15,17,88,06/02/2005
Public Abstract Class,org.jfree.data.xy.AbstractIntervalXYDataset,2,4,0,06/02/2005
Public Abstract Class,org.jfree.data.xy.AbstractXYDataset,3,3,0,06/02/2005
Public Abstract Class,org.jfree.data.xy.AbstractXYZDataset,2,1,0,06/02/2005
Public Class,org.jfree.chart.ChartColor,0,2,50,06/02/2005
Public Class,org.jfree.chart.ChartFrame,4,3,33,06/02/2005
Public Class,org.jfree.chart.ChartMouseEvent,3,4,62,06/02/2005
Public Class,org.jfree.chart.ChartPanel,53,93,96,06/02/2005
Public Class,org.jfree.chart.ChartRenderingInfo,10,14,71,06/02/2005
Public Class,org.jfree.chart.ClipPath,13,25,80,06/02/2005
Public Class,org.jfree.chart.DefaultOldLegend,46,44,92,06/02/2005
Public Class,org.jfree.chart.DrawableLegendItem,4,17,86,06/02/2005
Public Class,org.jfree.chart.JFreeChart,62,66,92,06/02/2005
Public Class,org.jfree.chart.LegendItem,13,22,84,06/02/2005
Public Class,org.jfree.chart.LegendItemCollection,5,8,56,06/02/2005
Public Class,org.jfree.chart.LegendRenderingOrder,2,4,68,06/02/2005
Public Class,org.jfree.chart.PolarChartPanel,10,7,71,06/02/2005
Public Class,org.jfree.chart.annotations.CategoryTextAnnotation,16,10,62,06/02/2005
Public Class,org.jfree.chart.annotations.TextAnnotation,9,17,84,06/02/2005
Public Class,org.jfree.chart.annotations.XYBoxAnnotation,18,9,56,06/02/2005
Public Class,org.jfree.chart.annotations.XYDrawableAnnotation,12,5,36,06/02/2005
Public Class,org.jfree.chart.annotations.XYImageAnnotation,18,7,64,06/02/2005
Public Class,org.jfree.chart.annotations.XYLineAnnotation,21,8,53,06/02/2005
Public Class,org.jfree.chart.annotations.XYPointerAnnotation,25,22,84,06/02/2005
Public Class,org.jfree.chart.annotations.XYPolygonAnnotation,20,8,55,06/02/2005
Public Class,org.jfree.chart.annotations.XYShapeAnnotation,19,9,53,06/02/2005
Public Class,org.jfree.chart.annotations.XYTextAnnotation,19,23,87,06/02/2005
Public Class,org.jfree.chart.annotations.junit.AnnotationsPackageTests,11,3,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.CategoryTextAnnotationTests,16,6,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.TextAnnotationTests,7,4,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.XYBoxAnnotationTests,16,6,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.XYDrawableAnnotationTests,15,6,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.XYImageAnnotationTests,15,6,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.XYLineAnnotationTests,17,6,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.XYPointerAnnotationTests,19,6,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.XYShapeAnnotationTests,18,6,0,06/02/2005
Public Class,org.jfree.chart.annotations.junit.XYTextAnnotationTests,17,6,0,06/02/2005
Public Class,org.jfree.chart.axis.AxisCollection,4,6,50,06/02/2005
Public Class,org.jfree.chart.axis.AxisLocation,4,5,63,06/02/2005
Public Class,org.jfree.chart.axis.AxisSpace,9,19,49,06/02/2005
Public Class,org.jfree.chart.axis.AxisState,2,13,69,06/02/2005
Public Class,org.jfree.chart.axis.CategoryAnchor,2,4,70,06/02/2005
Public Class,org.jfree.chart.axis.CategoryAxis,36,38,90,06/02/2005
Public Class,org.jfree.chart.axis.CategoryAxis3D,12,5,100,06/02/2005
Public Class,org.jfree.chart.axis.CategoryLabelPosition,2,12,75,06/02/2005
Public Class,org.jfree.chart.axis.CategoryLabelPositions,4,11,81,06/02/2005
Public Class,org.jfree.chart.axis.CategoryLabelWidthType,3,4,68,06/02/2005
Public Class,org.jfree.chart.axis.CategoryTick,1,6,33,06/02/2005
Public Class,org.jfree.chart.axis.ColorBar,23,17,79,06/02/2005
Public Class,org.jfree.chart.axis.CompassFormat,6,5,96,06/02/2005
Public Class,org.jfree.chart.axis.CyclicNumberAxis,35,34,86,06/02/2005
Public Class,org.jfree.chart.axis.DateAxis,39,46,93,06/02/2005
Public Class,org.jfree.chart.axis.DateTick,2,4,0,06/02/2005
Public Class,org.jfree.chart.axis.DateTickMarkPosition,2,4,70,06/02/2005
Public Class,org.jfree.chart.axis.DateTickUnit,5,16,82,06/02/2005
Public Class,org.jfree.chart.axis.ExtendedCategoryAxis,8,7,47,06/02/2005
Public Class,org.jfree.chart.axis.LogarithmicAxis,18,25,85,06/02/2005
Public Class,org.jfree.chart.axis.MarkerAxisBand,21,7,50,06/02/2005
Public Class,org.jfree.chart.axis.ModuloAxis,5,16,41,06/02/2005
Public Class,org.jfree.chart.axis.MonthDateFormat,19,11,72,06/02/2005
Public Class,org.jfree.chart.axis.NumberAxis,32,38,93,06/02/2005
Public Class,org.jfree.chart.axis.NumberAxis3D,10,3,100,06/02/2005
Public Class,org.jfree.chart.axis.NumberTick,2,2,0,06/02/2005
Public Class,org.jfree.chart.axis.NumberTickUnit,2,3,66,06/02/2005
Public Class,org.jfree.chart.axis.PeriodAxis,43,45,87,06/02/2005
Public Class,org.jfree.chart.axis.PeriodAxisLabelInfo,18,16,83,06/02/2005
Public Class,org.jfree.chart.axis.QuarterDateFormat,11,6,83,06/02/2005
Public Class,org.jfree.chart.axis.SegmentedTimeline,15,44,94,06/02/2005
Public Class,org.jfree.chart.axis.SegmentedTimeline.Segment,3,29,68,06/02/2005
Public Class,org.jfree.chart.axis.StandardTickUnitSource,4,3,33,06/02/2005
Public Class,org.jfree.chart.axis.SubCategoryAxis,28,13,69,06/02/2005
Public Class,org.jfree.chart.axis.SymbolicAxis,31,16,83,06/02/2005
Public Class,org.jfree.chart.axis.SymbolicTickUnit,3,3,50,06/02/2005
Public Class,org.jfree.chart.axis.TickUnits,8,9,55,06/02/2005
Public Class,org.jfree.chart.axis.junit.AxisLocationTests,13,5,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.AxisPackageTests,31,3,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.AxisSpaceTests,6,5,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.AxisTests,10,5,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryAnchorTests,13,5,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryAxis3DTests,15,4,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryAxisTests,15,6,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryLabelPositionTests,15,5,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryLabelPositionsTests,14,5,70,06/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryLabelWidthTypeTests,13,5,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.CategoryTickTests,16,6,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.ColorBarTests,16,6,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.CyclicNumberAxisTests,18,6,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.DateAxisTests,25,11,0,06/02/2005
Public Class,org.jfree.chart.axis.junit.DateTickMarkPositionTests,13,5,0,06/02/2005
