Kind,Name,CountClassCoupled,PercentLackOfCohesion,CountDeclMethod
Abstract Class,org.apache.xerces.impl.xs.traversers.Container,4,88,3
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser,19,66,6
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,41,86,10
Abstract Class,org.apache.xerces.util.AugmentationsImpl.AugmentationsItemsContainer,1,0,7
Class,dom.traversal.IteratorView.Errors,9,42,7
Class,dom.traversal.IteratorView.IteratorView.(Anon_2),6,0,1
Class,dom.traversal.IteratorView.IteratorView.(Anon_3),1,0,1
Class,dom.traversal.IteratorView.IteratorView.(Anon_4),1,0,1
Class,dom.traversal.IteratorView.main.(Anon_1),2,0,1
Class,dom.traversal.TreeWalkerView.Errors,9,42,7
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_2),6,0,1
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_3),1,0,1
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_4),1,0,1
Class,dom.traversal.TreeWalkerView.main.(Anon_1),2,0,1
Class,org.apache.html.dom.CollectionIndex,0,0,4
Class,org.apache.html.dom.HTMLCollectionImpl,18,84,9
Class,org.apache.html.dom.ObjectFactory,19,75,7
Class,org.apache.html.dom.SecuritySupport,10,96,9
Class,org.apache.html.dom.SecuritySupport12,10,0,8
Class,org.apache.html.dom.SecuritySupport12.getContextClassLoader.(Anon_1),3,0,1
Class,org.apache.html.dom.SecuritySupport12.getFileExists.(Anon_7),3,0,1
Class,org.apache.html.dom.SecuritySupport12.getFileInputStream.(Anon_5),3,0,1
Class,org.apache.html.dom.SecuritySupport12.getLastModified.(Anon_8),3,0,1
Class,org.apache.html.dom.SecuritySupport12.getParentClassLoader.(Anon_3),3,0,1
Class,org.apache.html.dom.SecuritySupport12.getResourceAsStream.(Anon_6),3,0,1
Class,org.apache.html.dom.SecuritySupport12.getSystemClassLoader.(Anon_2),2,0,1
Class,org.apache.html.dom.SecuritySupport12.getSystemProperty.(Anon_4),2,0,1
Class,org.apache.xerces.dom.CharacterDataImpl.(Anon_1),1,0,2
Class,org.apache.xerces.dom.CoreDocumentImpl.UserDataRecord,1,0,1
Class,org.apache.xerces.dom.DeferredDocumentImpl.RefCount,0,0,0
Class,org.apache.xerces.dom.DocumentImpl.EnclosingAttr,2,0,0
Class,org.apache.xerces.dom.DocumentImpl.LEntry,2,0,1
Class,org.apache.xerces.dom.LCount,2,75,1
Class,org.apache.xerces.dom.NodeListCache,2,80,1
Class,org.apache.xerces.dom.ObjectFactory,19,75,7
Class,org.apache.xerces.dom.ParentNode.getChildNodesUnoptimized.(Anon_1),2,0,2
Class,org.apache.xerces.dom.SecuritySupport,10,96,9
Class,org.apache.xerces.dom.SecuritySupport12,10,0,8
Class,org.apache.xerces.dom.SecuritySupport12.getContextClassLoader.(Anon_1),3,0,1
Class,org.apache.xerces.dom.SecuritySupport12.getFileExists.(Anon_7),3,0,1
Class,org.apache.xerces.dom.SecuritySupport12.getFileInputStream.(Anon_5),3,0,1
Class,org.apache.xerces.dom.SecuritySupport12.getLastModified.(Anon_8),3,0,1
Class,org.apache.xerces.dom.SecuritySupport12.getParentClassLoader.(Anon_3),3,0,1
Class,org.apache.xerces.dom.SecuritySupport12.getResourceAsStream.(Anon_6),3,0,1
Class,org.apache.xerces.dom.SecuritySupport12.getSystemClassLoader.(Anon_2),2,0,1
Class,org.apache.xerces.dom.SecuritySupport12.getSystemProperty.(Anon_4),2,0,1
Class,org.apache.xerces.impl.dv.ObjectFactory,19,75,7
Class,org.apache.xerces.impl.dv.SecuritySupport,10,96,9
Class,org.apache.xerces.impl.dv.SecuritySupport12,10,0,8
Class,org.apache.xerces.impl.dv.SecuritySupport12.getContextClassLoader.(Anon_1),3,0,1
Class,org.apache.xerces.impl.dv.SecuritySupport12.getFileExists.(Anon_7),3,0,1
Class,org.apache.xerces.impl.dv.SecuritySupport12.getFileInputStream.(Anon_5),3,0,1
Class,org.apache.xerces.impl.dv.SecuritySupport12.getLastModified.(Anon_8),3,0,1
Class,org.apache.xerces.impl.dv.SecuritySupport12.getParentClassLoader.(Anon_3),3,0,1
Class,org.apache.xerces.impl.dv.SecuritySupport12.getResourceAsStream.(Anon_6),3,0,1
Class,org.apache.xerces.impl.dv.SecuritySupport12.getSystemClassLoader.(Anon_2),2,0,1
Class,org.apache.xerces.impl.dv.SecuritySupport12.getSystemProperty.(Anon_4),2,0,1
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_1),1,0,11
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_2),1,0,11
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.ValidationContextImpl,2,50,13
Class,org.apache.xerces.impl.xpath.XPath.parseExpression.(Anon_1),3,0,1
Class,org.apache.xerces.impl.xpath.regex.Op,11,89,23
Class,org.apache.xerces.impl.xpath.regex.ParserForXMLSchema,8,97,38
Class,org.apache.xerces.impl.xpath.regex.RangeToken,9,76,18
Class,org.apache.xerces.impl.xpath.regex.RegexParser,14,92,49
Class,org.apache.xerces.impl.xpath.regex.Token,17,95,51
Class,org.apache.xerces.impl.xs.traversers.LargeContainer,3,0,3
Class,org.apache.xerces.impl.xs.traversers.OneAttr,1,0,1
Class,org.apache.xerces.impl.xs.traversers.OneElement,1,50,2
Class,org.apache.xerces.impl.xs.traversers.SmallContainer,2,0,3
Class,org.apache.xerces.impl.xs.traversers.XSDAbstractIDConstraintTraverser,13,0,2
Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.FacetInfo,2,0,0
Class,org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser,12,0,3
Class,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,25,0,6
Class,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,42,78,18
Class,org.apache.xerces.impl.xs.traversers.XSDElementTraverser,32,83,6
Class,org.apache.xerces.impl.xs.traversers.XSDGroupTraverser,17,0,3
Class,org.apache.xerces.impl.xs.traversers.XSDKeyrefTraverser,13,0,2
Class,org.apache.xerces.impl.xs.traversers.XSDNotationTraverser,10,0,2
Class,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,25,68,8
Class,org.apache.xerces.impl.xs.traversers.XSDUniqueOrKeyTraverser,12,0,2
Class,org.apache.xerces.impl.xs.traversers.XSDWildcardTraverser,13,0,4
Class,org.apache.xerces.impl.xs.traversers.XSDocumentInfo,14,81,9
Class,org.apache.xerces.jaxp.DefaultValidationErrorHandler,5,0,1
Class,org.apache.xerces.parsers.AbstractSAXParser.parse.(catch_22).(Anon_1),2,0,2
Class,org.apache.xerces.parsers.AbstractSAXParser.parse.(catch_24).(Anon_2),2,0,2
Class,org.apache.xerces.parsers.ObjectFactory,19,75,7
Class,org.apache.xerces.parsers.SecuritySupport,10,96,9
Class,org.apache.xerces.parsers.SecuritySupport12,10,0,8
Class,org.apache.xerces.parsers.SecuritySupport12.getContextClassLoader.(Anon_1),3,0,1
Class,org.apache.xerces.parsers.SecuritySupport12.getFileExists.(Anon_7),3,0,1
Class,org.apache.xerces.parsers.SecuritySupport12.getFileInputStream.(Anon_5),3,0,1
Class,org.apache.xerces.parsers.SecuritySupport12.getLastModified.(Anon_8),3,0,1
Class,org.apache.xerces.parsers.SecuritySupport12.getParentClassLoader.(Anon_3),3,0,1
Class,org.apache.xerces.parsers.SecuritySupport12.getResourceAsStream.(Anon_6),3,0,1
Class,org.apache.xerces.parsers.SecuritySupport12.getSystemClassLoader.(Anon_2),2,0,1
Class,org.apache.xerces.parsers.SecuritySupport12.getSystemProperty.(Anon_4),2,0,1
Class,org.apache.xerces.util.AugmentationsImpl.LargeContainer,4,25,8
Class,org.apache.xerces.util.AugmentationsImpl.SmallContainer,5,37,8
Class,org.apache.xerces.util.AugmentationsImpl.SmallContainer.SmallContainerKeyEnumeration,2,16,3
Class,org.apache.xerces.util.ErrorHandlerWrapper.createXMLParseException.(Anon_1),2,0,13
Class,org.apache.xerces.xinclude.ObjectFactory,19,75,7
Class,org.apache.xerces.xinclude.SecuritySupport,10,96,9
Class,org.apache.xerces.xinclude.SecuritySupport12,10,0,8
Class,org.apache.xerces.xinclude.SecuritySupport12.getContextClassLoader.(Anon_1),3,0,1
Class,org.apache.xerces.xinclude.SecuritySupport12.getFileExists.(Anon_7),3,0,1
Class,org.apache.xerces.xinclude.SecuritySupport12.getFileInputStream.(Anon_5),3,0,1
Class,org.apache.xerces.xinclude.SecuritySupport12.getLastModified.(Anon_8),3,0,1
