Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion
Abstract Class,org.apache.xerces.impl.xs.traversers.Container,4,3,88
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser,19,6,66
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,41,10,86
Abstract Class,org.apache.xerces.util.AugmentationsImpl.AugmentationsItemsContainer,1,7,0
Class,org.apache.html.dom.CollectionIndex,0,4,0
Class,org.apache.html.dom.HTMLCollectionImpl,18,9,84
Class,org.apache.xerces.dom.CharacterDataImpl.(Anon_1),1,2,0
Class,org.apache.xerces.dom.CoreDocumentImpl.UserDataRecord,1,1,0
Class,org.apache.xerces.dom.DeferredDocumentImpl.RefCount,0,0,0
Class,org.apache.xerces.dom.DocumentImpl.EnclosingAttr,2,0,0
Class,org.apache.xerces.dom.DocumentImpl.LEntry,2,1,0
Class,org.apache.xerces.dom.LCount,2,1,75
Class,org.apache.xerces.dom.NodeListCache,2,1,80
Class,org.apache.xerces.dom.ParentNode.getChildNodesUnoptimized.(Anon_1),2,2,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_1),1,11,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_2),1,11,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.ValidationContextImpl,2,13,50
Class,org.apache.xerces.impl.xpath.XPath.parseExpression.(Anon_1),3,1,0
Class,org.apache.xerces.impl.xpath.regex.Op,11,23,89
Class,org.apache.xerces.impl.xpath.regex.ParserForXMLSchema,8,38,97
Class,org.apache.xerces.impl.xpath.regex.RangeToken,9,18,76
Class,org.apache.xerces.impl.xpath.regex.RegexParser,14,49,92
Class,org.apache.xerces.impl.xpath.regex.Token,17,51,95
Class,org.apache.xerces.impl.xs.traversers.LargeContainer,3,3,0
Class,org.apache.xerces.impl.xs.traversers.OneAttr,1,1,0
Class,org.apache.xerces.impl.xs.traversers.OneElement,1,2,50
Class,org.apache.xerces.impl.xs.traversers.SmallContainer,2,3,0
Class,org.apache.xerces.impl.xs.traversers.XSDAbstractIDConstraintTraverser,13,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.FacetInfo,2,0,0
Class,org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser,12,3,0
Class,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,25,6,0
Class,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,42,18,78
Class,org.apache.xerces.impl.xs.traversers.XSDElementTraverser,31,6,88
Class,org.apache.xerces.impl.xs.traversers.XSDGroupTraverser,17,3,0
Class,org.apache.xerces.impl.xs.traversers.XSDKeyrefTraverser,13,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDNotationTraverser,10,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,25,8,68
Class,org.apache.xerces.impl.xs.traversers.XSDUniqueOrKeyTraverser,12,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDWildcardTraverser,13,4,0
Class,org.apache.xerces.impl.xs.traversers.XSDocumentInfo,14,9,81
Class,org.apache.xerces.jaxp.DefaultValidationErrorHandler,5,1,0
Class,org.apache.xerces.parsers.AbstractSAXParser.parse.(catch_22).(Anon_1),2,2,0
Class,org.apache.xerces.parsers.AbstractSAXParser.parse.(catch_24).(Anon_2),2,2,0
Class,org.apache.xerces.util.AugmentationsImpl.LargeContainer,4,8,25
Class,org.apache.xerces.util.AugmentationsImpl.SmallContainer,5,8,37
Class,org.apache.xerces.util.AugmentationsImpl.SmallContainer.SmallContainerKeyEnumeration,2,3,16
Class,org.apache.xerces.util.ErrorHandlerWrapper.createXMLParseException.(Anon_1),2,13,0
Class,org.apache.xerces.util.SecuritySupport,10,9,96
Class,org.apache.xerces.util.SecuritySupport12,10,8,0
Class,org.apache.xerces.util.SecuritySupport12.getContextClassLoader.(Anon_1),3,1,0
