Kind,Name,CountClassBase,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion
Abstract Class,org.apache.xerces.impl.xs.traversers.Container,1,4,3,88
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser,1,21,6,66
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,1,40,12,86
Abstract Class,org.apache.xerces.jaxp.validation.AbstractXMLSchema,2,7,5,40
Abstract Class,org.apache.xerces.util.AugmentationsImpl.AugmentationsItemsContainer,1,1,7,0
Class,dom.traversal.IteratorView.Errors,2,9,7,42
Class,dom.traversal.IteratorView.IteratorView.(Anon_2),2,6,1,0
Class,dom.traversal.IteratorView.IteratorView.(Anon_3),2,1,1,100
Class,dom.traversal.IteratorView.IteratorView.(Anon_4),2,1,1,0
Class,dom.traversal.IteratorView.main.(Anon_1),2,2,1,0
Class,dom.traversal.TreeWalkerView.Errors,2,9,7,42
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_2),2,6,1,0
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_3),2,1,1,100
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_4),2,1,1,0
Class,dom.traversal.TreeWalkerView.main.(Anon_1),2,2,1,0
Class,jaxp.InlineSchemaValidator.getPrefixes.(Anon_1),2,3,3,33
Class,jaxp.InlineSchemaValidator.getPrefixes.(Anon_2),2,3,3,33
Class,org.apache.html.dom.CollectionIndex,1,0,4,0
Class,org.apache.html.dom.HTMLCollectionImpl,2,18,9,84
Class,org.apache.html.dom.ObjectFactory,1,19,7,77
Class,org.apache.html.dom.SecuritySupport,1,10,10,90
Class,org.apache.html.dom.SecuritySupport.getContextClassLoader.(Anon_1),2,3,1,0
Class,org.apache.html.dom.SecuritySupport.getFileExists.(Anon_7),2,3,1,0
Class,org.apache.html.dom.SecuritySupport.getFileInputStream.(Anon_5),2,3,1,0
Class,org.apache.html.dom.SecuritySupport.getLastModified.(Anon_8),2,3,1,0
Class,org.apache.html.dom.SecuritySupport.getParentClassLoader.(Anon_3),2,3,1,0
Class,org.apache.html.dom.SecuritySupport.getResourceAsStream.(Anon_6),2,3,1,0
Class,org.apache.html.dom.SecuritySupport.getSystemClassLoader.(Anon_2),2,2,1,0
Class,org.apache.html.dom.SecuritySupport.getSystemProperty.(Anon_4),2,2,1,0
Class,org.apache.xerces.dom.CharacterDataImpl.(Anon_1),2,1,2,0
Class,org.apache.xerces.dom.DeferredDocumentImpl.RefCount,1,0,0,0
Class,org.apache.xerces.dom.DocumentImpl.EnclosingAttr,2,2,0,0
Class,org.apache.xerces.dom.DocumentImpl.LEntry,2,2,1,25
Class,org.apache.xerces.dom.LCount,1,2,1,80
Class,org.apache.xerces.dom.NodeListCache,2,2,1,83
Class,org.apache.xerces.dom.ObjectFactory,1,19,7,77
Class,org.apache.xerces.dom.ParentNode.UserDataRecord,2,1,1,33
Class,org.apache.xerces.dom.ParentNode.getChildNodesUnoptimized.(Anon_1),2,2,2,0
Class,org.apache.xerces.dom.SecuritySupport,1,10,10,90
Class,org.apache.xerces.dom.SecuritySupport.getContextClassLoader.(Anon_1),2,3,1,0
Class,org.apache.xerces.dom.SecuritySupport.getFileExists.(Anon_7),2,3,1,0
Class,org.apache.xerces.dom.SecuritySupport.getFileInputStream.(Anon_5),2,3,1,0
Class,org.apache.xerces.dom.SecuritySupport.getLastModified.(Anon_8),2,3,1,0
Class,org.apache.xerces.dom.SecuritySupport.getParentClassLoader.(Anon_3),2,3,1,0
Class,org.apache.xerces.dom.SecuritySupport.getResourceAsStream.(Anon_6),2,3,1,0
Class,org.apache.xerces.dom.SecuritySupport.getSystemClassLoader.(Anon_2),2,2,1,0
Class,org.apache.xerces.dom.SecuritySupport.getSystemProperty.(Anon_4),2,2,1,0
Class,org.apache.xerces.impl.XMLEntityManager.(Anon_1),2,1,1,0
Class,org.apache.xerces.impl.XMLErrorReporter.getSAXErrorHandler.(Anon_1),2,2,1,0
Class,org.apache.xerces.impl.dtd.BalancedDTDGrammar,1,8,13,58
Class,org.apache.xerces.impl.dv.ObjectFactory,1,19,7,77
Class,org.apache.xerces.impl.dv.SecuritySupport,1,10,10,90
Class,org.apache.xerces.impl.dv.SecuritySupport.getContextClassLoader.(Anon_1),2,3,1,0
Class,org.apache.xerces.impl.dv.SecuritySupport.getFileExists.(Anon_7),2,3,1,0
Class,org.apache.xerces.impl.dv.SecuritySupport.getFileInputStream.(Anon_5),2,3,1,0
Class,org.apache.xerces.impl.dv.SecuritySupport.getLastModified.(Anon_8),2,3,1,0
Class,org.apache.xerces.impl.dv.SecuritySupport.getParentClassLoader.(Anon_3),2,3,1,0
Class,org.apache.xerces.impl.dv.SecuritySupport.getResourceAsStream.(Anon_6),2,3,1,0
Class,org.apache.xerces.impl.dv.SecuritySupport.getSystemClassLoader.(Anon_2),2,2,1,0
Class,org.apache.xerces.impl.dv.SecuritySupport.getSystemProperty.(Anon_4),2,2,1,0
Class,org.apache.xerces.impl.dv.xs.AnyAtomicDV,1,3,2,0
Class,org.apache.xerces.impl.dv.xs.DayTimeDurationDV,1,10,2,0
Class,org.apache.xerces.impl.dv.xs.PrecisionDecimalDV,1,7,6,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_1),2,1,11,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_4),2,1,11,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.ValidationContextImpl,2,2,13,50
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.getActualEnumeration.(Anon_2),2,2,3,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.getEnumerationItemTypeList.(Anon_3),2,2,3,0
Class,org.apache.xerces.impl.dv.xs.YearMonthDurationDV,1,9,2,0
Class,org.apache.xerces.impl.xpath.XPath.parseExpression.(Anon_1),2,3,1,0
Class,org.apache.xerces.impl.xpath.regex.Op,1,11,23,89
Class,org.apache.xerces.impl.xpath.regex.ParserForXMLSchema,1,8,38,97
Class,org.apache.xerces.impl.xpath.regex.RangeToken,2,9,18,79
Class,org.apache.xerces.impl.xpath.regex.RegexParser,1,14,49,92
Class,org.apache.xerces.impl.xpath.regex.Token,2,17,51,95
Class,org.apache.xerces.impl.xs.traversers.LargeContainer,1,3,3,0
Class,org.apache.xerces.impl.xs.traversers.OneAttr,1,1,1,0
Class,org.apache.xerces.impl.xs.traversers.SchemaContentHandler,2,20,19,81
Class,org.apache.xerces.impl.xs.traversers.SmallContainer,1,2,3,0
Class,org.apache.xerces.impl.xs.traversers.XSAnnotationInfo,1,3,2,19
Class,org.apache.xerces.impl.xs.traversers.XSDAbstractIDConstraintTraverser,1,13,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.FacetInfo,1,2,0,0
Class,org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser,1,14,3,0
Class,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,1,27,6,0
Class,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser,1,43,18,78
Class,org.apache.xerces.impl.xs.traversers.XSDElementTraverser,1,35,6,83
Class,org.apache.xerces.impl.xs.traversers.XSDGroupTraverser,1,19,3,0
Class,org.apache.xerces.impl.xs.traversers.XSDKeyrefTraverser,1,13,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDNotationTraverser,1,12,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser,1,27,10,75
Class,org.apache.xerces.impl.xs.traversers.XSDUniqueOrKeyTraverser,1,12,2,0
Class,org.apache.xerces.impl.xs.traversers.XSDWildcardTraverser,1,15,4,0
Class,org.apache.xerces.impl.xs.traversers.XSDocumentInfo,1,13,12,85
Class,org.apache.xerces.impl.xs.util.ShortListImpl.(Anon_1),2,1,3,0
Class,org.apache.xerces.impl.xs.util.StringListImpl.(Anon_1),2,1,3,0
Class,org.apache.xerces.impl.xs.util.XSNamedMapImpl.(Anon_1),2,2,3,0
Class,org.apache.xerces.impl.xs.util.XSObjectListImpl.(Anon_1),2,1,2,0
Class,org.apache.xerces.jaxp.DefaultValidationErrorHandler,1,5,1,0
Class,org.apache.xerces.jaxp.JAXPValidatorComponent,2,18,15,87
Class,org.apache.xerces.jaxp.JAXPValidatorComponent.(Anon_3),2,2,6,0
Class,org.apache.xerces.jaxp.JAXPValidatorComponent.JAXPValidatorComponent.(Anon_1),2,5,1,0
Class,org.apache.xerces.jaxp.JAXPValidatorComponent.JAXPValidatorComponent.(Anon_2),2,9,1,0
Class,org.apache.xerces.jaxp.SchemaValidatorConfiguration,2,8,3,51
Class,org.apache.xerces.jaxp.TeeXMLDocumentFilterImpl,2,9,22,42
Class,org.apache.xerces.jaxp.UnparsedEntityHandler,3,8,27,73
Class,org.apache.xerces.jaxp.datatype.DurationImpl,2,22,48,87
Class,org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl,3,23,68,95
Class,org.apache.xerces.jaxp.validation.DOMResultAugmentor,2,34,27,90
Class,org.apache.xerces.jaxp.validation.DOMResultBuilder,2,40,27,88
Class,org.apache.xerces.jaxp.validation.DOMValidatorHelper,3,44,13,85
Class,org.apache.xerces.jaxp.validation.DOMValidatorHelper.DOMNamespaceContext,2,11,12,77
Class,org.apache.xerces.jaxp.validation.DraconianErrorHandler,2,2,5,80
Class,org.apache.xerces.jaxp.validation.EmptyXMLSchema,2,3,9,88
Class,org.apache.xerces.jaxp.validation.JAXPValidationMessageFormatter,1,8,1,0
Class,org.apache.xerces.jaxp.validation.ReadOnlyGrammarPool,2,3,7,57
Class,org.apache.xerces.jaxp.validation.SimpleXMLSchema,2,3,9,80
Class,org.apache.xerces.jaxp.validation.SoftReferenceGrammarPool,2,10,16,77
Class,org.apache.xerces.jaxp.validation.StreamValidatorHelper,2,22,3,43
Class,org.apache.xerces.jaxp.validation.Util,1,7,3,0
Class,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl,6,61,54,94
Class,org.apache.xerces.jaxp.validation.ValidatorImpl,2,27,14,75
Class,org.apache.xerces.jaxp.validation.WeakReferenceXMLSchema,1,4,3,66
Class,org.apache.xerces.jaxp.validation.XMLSchema,1,1,4,50
Class,org.apache.xerces.jaxp.validation.XMLSchemaValidatorComponentManager,2,27,14,81
Class,org.apache.xerces.parsers.AbstractSAXParser.parse.(catch_24).(Anon_1),2,2,2,0
Class,org.apache.xerces.parsers.AbstractSAXParser.parse.(catch_26).(Anon_2),2,2,2,0
Class,org.apache.xerces.parsers.ObjectFactory,1,19,7,77
Class,org.apache.xerces.parsers.SecuritySupport,1,10,10,90
Class,org.apache.xerces.parsers.SecuritySupport.getContextClassLoader.(Anon_1),2,3,1,0
Class,org.apache.xerces.parsers.SecuritySupport.getFileExists.(Anon_7),2,3,1,0
Class,org.apache.xerces.parsers.SecuritySupport.getFileInputStream.(Anon_5),2,3,1,0
Class,org.apache.xerces.parsers.SecuritySupport.getLastModified.(Anon_8),2,3,1,0
Class,org.apache.xerces.parsers.SecuritySupport.getParentClassLoader.(Anon_3),2,3,1,0
Class,org.apache.xerces.parsers.SecuritySupport.getResourceAsStream.(Anon_6),2,3,1,0
Class,org.apache.xerces.parsers.SecuritySupport.getSystemClassLoader.(Anon_2),2,2,1,0
Class,org.apache.xerces.parsers.SecuritySupport.getSystemProperty.(Anon_4),2,2,1,0
Class,org.apache.xerces.util.AugmentationsImpl.LargeContainer,1,4,8,25
Class,org.apache.xerces.util.AugmentationsImpl.SmallContainer,1,5,8,37
Class,org.apache.xerces.util.AugmentationsImpl.SmallContainer.SmallContainerKeyEnumeration,2,2,3,16
Class,org.apache.xerces.util.ErrorHandlerWrapper.createXMLParseException.(Anon_1),2,2,9,0
Class,org.apache.xerces.util.JAXPNamespaceContextWrapper.getAllPrefixes.(Anon_1),2,0,2,0
Class,org.apache.xerces.util.XMLErrorCode,1,1,4,0
Class,org.apache.xerces.xinclude.ObjectFactory,1,19,7,77
Class,org.apache.xerces.xinclude.SecuritySupport,1,10,10,90
Class,org.apache.xerces.xinclude.SecuritySupport.getContextClassLoader.(Anon_1),2,3,1,0
Class,org.apache.xerces.xinclude.SecuritySupport.getFileExists.(Anon_7),2,3,1,0
Class,org.apache.xerces.xinclude.SecuritySupport.getFileInputStream.(Anon_5),2,3,1,0
Class,org.apache.xerces.xinclude.SecuritySupport.getLastModified.(Anon_8),2,3,1,0
Class,org.apache.xerces.xinclude.SecuritySupport.getParentClassLoader.(Anon_3),2,3,1,0
Class,org.apache.xerces.xinclude.SecuritySupport.getResourceAsStream.(Anon_6),2,3,1,0
Class,org.apache.xerces.xinclude.SecuritySupport.getSystemClassLoader.(Anon_2),2,2,1,0
Class,org.apache.xerces.xinclude.SecuritySupport.getSystemProperty.(Anon_4),2,2,1,0
Class,org.apache.xerces.xpointer.ElementSchemePointer,2,15,16,81
Class,org.apache.xerces.xpointer.ElementSchemePointer.parseXPointer.(Anon_1),2,3,1,0
Class,org.apache.xerces.xpointer.ShortHandPointer,2,11,14,80
Class,org.apache.xerces.xpointer.XPointerErrorHandler,2,6,6,66
Class,org.apache.xerces.xpointer.XPointerHandler.parseXPointer.(Anon_1),2,3,1,0
Class,org.apache.xerces.xpointer.XPointerMessageFormatter,2,7,1,33
Class,org.apache.xml.serialize.ObjectFactory,1,19,7,77
Class,org.apache.xml.serialize.SecuritySupport,1,10,10,90
Class,org.apache.xml.serialize.SecuritySupport.getContextClassLoader.(Anon_1),2,3,1,0
Class,org.apache.xml.serialize.SecuritySupport.getFileExists.(Anon_7),2,3,1,0
Class,org.apache.xml.serialize.SecuritySupport.getFileInputStream.(Anon_5),2,3,1,0
Class,org.apache.xml.serialize.SecuritySupport.getLastModified.(Anon_8),2,3,1,0
Class,org.apache.xml.serialize.SecuritySupport.getParentClassLoader.(Anon_3),2,3,1,0
Class,org.apache.xml.serialize.SecuritySupport.getResourceAsStream.(Anon_6),2,3,1,0
Class,org.apache.xml.serialize.SecuritySupport.getSystemClassLoader.(Anon_2),2,2,1,0
Class,org.apache.xml.serialize.SecuritySupport.getSystemProperty.(Anon_4),2,2,1,0
Class,org.apache.xml.serialize.SerializerFactoryImpl,1,14,6,50
Class,socket.KeepSocketOpen.Client.InputStreamReporter,1,4,3,33
Class,ui.TreeView.ErrorStorer,2,10,8,50
Class,ui.TreeView.FileNameInput,2,14,6,72
Class,ui.TreeView.ParseError,1,1,7,68
Class,ui.TreeView.XMLTreeCellRenderer,1,11,1,100
Class,ui.TreeView.createUI.(Anon_1),2,2,2,100
Class,ui.TreeView.createUI.(Anon_2),2,2,2,100
Class,ui.TreeView.createUI.(Anon_3),2,4,1,0
Class,ui.TreeView.createUI.(Anon_4),2,2,2,100
Class,ui.TreeView.main.(for_loop_5).(Anon_5),2,2,1,0
Class,xni.ObjectFactory,1,19,7,77
Class,xni.PSVIWriter.ElementState,1,1,4,37
Class,xni.SecuritySupport,1,10,10,90
Class,xni.SecuritySupport.getContextClassLoader.(Anon_1),2,3,1,0
Class,xni.SecuritySupport.getFileExists.(Anon_7),2,3,1,0
Class,xni.SecuritySupport.getFileInputStream.(Anon_5),2,3,1,0
Class,xni.SecuritySupport.getLastModified.(Anon_8),2,3,1,0
Class,xni.SecuritySupport.getParentClassLoader.(Anon_3),2,3,1,0
Class,xni.SecuritySupport.getResourceAsStream.(Anon_6),2,3,1,0
Class,xni.SecuritySupport.getSystemClassLoader.(Anon_2),2,2,1,0
Class,xni.SecuritySupport.getSystemProperty.(Anon_4),2,2,1,0
Private Class,org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser.ComplexTypeRecoverableError,1,2,2,66
Private Class,org.apache.xerces.jaxp.JAXPValidatorComponent.SAX2XNI,1,12,9,88
Private Class,org.apache.xerces.jaxp.JAXPValidatorComponent.XNI2SAX,1,12,11,68
Private Class,org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl.Parser,1,7,8,52
Private Class,org.apache.xerces.parsers.DOMParserImpl.AbortHandler,4,13,49,95
Private Class,org.apache.xerces.xpointer.ElementSchemePointer.Scanner,1,7,4,63
Private Class,org.apache.xerces.xpointer.ElementSchemePointer.Tokens,1,8,11,80
Private Class,org.apache.xerces.xpointer.XPointerHandler.Scanner,1,8,5,68
Private Class,org.apache.xerces.xpointer.XPointerHandler.Tokens,1,8,9,81
Private Static Class,org.apache.xerces.impl.XMLEntityManager.ByteBufferPool,1,0,5,43
Private Static Class,org.apache.xerces.impl.XMLEntityManager.CharacterBuffer,1,0,1,0
Private Static Class,org.apache.xerces.impl.XMLEntityManager.CharacterBufferPool,1,1,6,52
Private Static Class,org.apache.xerces.impl.dtd.DTDGrammar.ChildrenList,1,1,1,100
Private Static Class,org.apache.xerces.impl.dv.xs.Base64BinaryDV.XBase64,1,2,4,0
Private Static Class,org.apache.xerces.impl.dv.xs.DoubleDV.XDouble,2,5,7,42
Private Static Class,org.apache.xerces.impl.dv.xs.FloatDV.XFloat,2,5,7,42
Private Static Class,org.apache.xerces.impl.dv.xs.HexBinaryDV.XHex,1,2,4,0
Private Static Class,org.apache.xerces.impl.dv.xs.QNameDV.XQName,2,2,5,0
Private Static Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.XSFacetImpl,2,6,10,77
Private Static Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.XSMVFacetImpl,2,6,8,75
Private Static Class,org.apache.xerces.impl.xpath.XPath.Scanner,1,8,5,78
Private Static Class,org.apache.xerces.impl.xpath.XPath.Tokens,1,8,10,80
Private Static Class,org.apache.xerces.impl.xs.SchemaGrammar.BuiltinAttrDecl,1,5,4,0
Private Static Class,org.apache.xerces.impl.xs.SchemaGrammar.XSAnyType,1,12,12,0
Private Static Class,org.apache.xerces.impl.xs.SubstitutionGroupHandler.OneSubGroup,1,1,2,50
Private Static Class,org.apache.xerces.impl.xs.XSLoaderImpl.XSGrammarMerger,1,15,8,0
Private Static Class,org.apache.xerces.impl.xs.opti.SchemaDOMParser.BooleanStack,1,1,6,41
Private Static Class,org.apache.xerces.impl.xs.traversers.XSDHandler.XSAnnotationGrammarPool,2,8,7,64
Private Static Class,org.apache.xerces.impl.xs.traversers.XSDHandler.XSDKey,1,1,3,33
Private Static Class,org.apache.xerces.jaxp.JAXPValidatorComponent.DraconianErrorHandler,2,2,5,80
Private Static Class,org.apache.xerces.jaxp.datatype.DurationImpl.DurationStream,2,3,2,50
Private Static Class,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl.XMLSchemaTypeInfoProvider,1,15,16,64
Private Static Class,org.apache.xerces.util.DOMErrorHandlerWrapper.DOMErrorTypeMap,1,4,2,50
Protected Abstract Class,org.apache.xerces.impl.xs.XMLSchemaValidator.ValueStoreBase,2,12,21,82
Protected Class,org.apache.xerces.dom.DOMNormalizer.XMLAttributesProxy,2,15,29,83
Protected Class,org.apache.xerces.impl.XML11NSDocumentScannerImpl.NS11ContentDispatcher,1,9,2,0
