ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,68,2,50,2003-07-01
2,50,68,2,50,2003-10-01
3,50,68,2,50,2004-01-01
4,50,68,2,50,2004-04-01
5,50,68,2,50,2004-07-01
6,50,68,2,50,2004-10-01
7,50,68,2,50,2003-04-01
8,50,67,2,50,2006-01-01
9,50,68,2,50,2005-01-01
10,50,68,2,50,2005-04-01
11,50,68,2,50,2005-07-01
12,50,67,2,50,2005-10-01
13,50,67,2,50,2006-04-01
14,50,67,2,50,2008-04-01
15,50,67,2,50,2008-07-01
16,50,67,2,50,2008-10-01
17,50,67,2,50,2006-07-01
18,50,67,2,50,2006-10-01
19,50,67,2,50,2007-01-01
20,50,67,2,50,2007-04-01
21,50,67,2,50,2007-07-01
22,50,67,2,50,2007-10-01
23,50,67,2,50,2008-01-01
