ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,33,20,4,725,2003-07-01
2,33,20,4,725,2003-10-01
3,33,20,4,725,2004-01-01
4,33,20,4,725,2004-04-01
5,33,20,4,725,2004-07-01
6,33,20,4,725,2004-10-01
7,33,20,4,725,2003-04-01
8,33,20,4,725,2006-01-01
9,33,20,4,725,2005-01-01
10,33,20,4,725,2005-04-01
11,33,20,4,725,2005-07-01
12,33,20,4,725,2005-10-01
13,33,20,4,725,2006-04-01
14,33,20,4,725,2008-04-01
15,33,20,4,725,2008-07-01
16,33,20,4,725,2008-10-01
17,33,20,4,725,2006-07-01
18,33,20,4,725,2006-10-01
19,33,20,4,725,2007-01-01
20,33,20,4,725,2007-04-01
21,33,20,4,725,2007-07-01
22,33,20,4,725,2007-10-01
23,33,20,4,725,2008-01-01
