ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,94,881,169,764,2003-07-01
2,94,923,179,766,2003-10-01
3,94,926,179,766,2004-01-01
4,95,1008,189,774,2004-04-01
5,95,1043,195,780,2004-07-01
6,95,1057,199,780,2004-10-01
7,94,848,158,762,2003-04-01
8,96,1236,213,792,2006-01-01
9,95,1053,189,778,2005-01-01
10,95,1163,193,778,2005-04-01
11,96,1227,210,791,2005-07-01
12,96,1240,213,792,2005-10-01
13,96,1236,213,792,2006-04-01
14,96,1212,226,800,2008-04-01
15,96,1214,226,800,2008-07-01
16,96,1215,226,800,2008-10-01
17,96,1236,213,792,2006-07-01
18,96,1179,215,792,2006-10-01
19,96,1167,213,792,2007-01-01
20,96,1162,211,793,2007-04-01
21,96,1176,216,794,2007-07-01
22,96,1203,223,798,2007-10-01
23,96,1203,223,798,2008-01-01
