ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,82,175,27,35,2003-07-01
2,85,210,34,40,2003-10-01
3,85,210,34,40,2004-01-01
4,83,288,48,39,2004-04-01
5,83,288,48,39,2004-07-01
6,0,250,44,39,2004-10-01
7,81,173,26,34,2003-04-01
8,0,299,43,38,2006-01-01
9,0,253,44,39,2005-01-01
10,0,245,43,38,2005-04-01
11,0,299,43,38,2005-07-01
12,0,299,43,38,2005-10-01
13,0,299,43,38,2006-04-01
14,0,243,43,38,2008-04-01
15,0,246,44,39,2008-07-01
16,0,246,44,39,2008-10-01
17,0,299,43,38,2006-07-01
18,0,299,43,38,2006-10-01
19,0,224,43,38,2007-01-01
20,0,241,43,38,2007-04-01
21,0,241,43,38,2007-07-01
22,0,241,43,38,2007-10-01
23,0,241,43,38,2008-01-01
