ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,80,141,31,36,2003-07-01
2,80,147,32,37,2003-10-01
3,80,147,32,37,2004-01-01
4,80,145,32,37,2004-04-01
5,80,145,32,37,2004-07-01
6,80,145,32,37,2004-10-01
7,80,125,31,36,2003-04-01
8,80,155,32,37,2006-01-01
9,80,145,32,37,2005-01-01
10,80,145,32,37,2005-04-01
11,80,155,32,37,2005-07-01
12,80,155,32,37,2005-10-01
13,80,155,32,37,2006-04-01
14,80,155,32,37,2008-04-01
15,80,155,32,37,2008-07-01
16,80,155,32,37,2008-10-01
17,80,155,32,37,2006-07-01
18,80,155,32,37,2006-10-01
19,80,155,32,37,2007-01-01
20,80,155,32,37,2007-04-01
21,80,155,32,37,2007-07-01
22,80,155,32,37,2007-10-01
23,80,155,32,37,2008-01-01
