ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,83,53,14,26,2003-07-01
2,87,67,18,30,2003-10-01
3,87,67,18,30,2004-01-01
4,90,80,22,34,2004-04-01
5,90,80,22,34,2004-07-01
6,90,80,22,34,2004-10-01
7,83,53,14,26,2003-04-01
8,86,64,17,29,2006-01-01
9,90,80,22,34,2005-01-01
10,86,64,17,29,2005-04-01
11,86,64,17,29,2005-07-01
12,86,64,17,29,2005-10-01
13,86,64,17,29,2006-04-01
14,86,64,17,29,2008-04-01
15,86,64,17,29,2008-07-01
16,86,64,17,29,2008-10-01
17,86,64,17,29,2006-07-01
18,86,64,17,29,2006-10-01
19,86,64,17,29,2007-01-01
20,86,64,17,29,2007-04-01
21,86,64,17,29,2007-07-01
22,86,64,17,29,2007-10-01
23,86,64,17,29,2008-01-01
