ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,66,10,35,2003-07-01
2,50,87,16,38,2003-10-01
3,50,87,16,38,2004-01-01
4,50,87,16,38,2004-04-01
5,50,87,16,38,2004-07-01
6,50,87,16,38,2004-10-01
7,50,28,4,22,2003-04-01
8,62,109,21,39,2006-01-01
9,50,87,16,38,2005-01-01
10,50,108,21,39,2005-04-01
11,62,109,21,39,2005-07-01
12,62,109,21,39,2005-10-01
13,62,109,21,39,2006-04-01
14,59,106,22,40,2008-04-01
15,59,106,22,40,2008-07-01
16,59,106,22,40,2008-10-01
17,62,109,21,39,2006-07-01
18,62,98,21,39,2006-10-01
19,62,98,21,39,2007-01-01
20,59,106,22,40,2007-04-01
21,59,106,22,40,2007-07-01
22,59,106,22,40,2007-10-01
23,59,106,22,40,2008-01-01
