ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,84,65,15,27,2003-07-01
2,82,84,19,28,2003-10-01
3,82,84,19,28,2004-01-01
4,82,84,19,28,2004-04-01
5,82,84,19,28,2004-07-01
6,82,87,20,28,2004-10-01
7,73,29,6,18,2003-04-01
8,84,104,26,29,2006-01-01
9,82,96,25,28,2005-01-01
10,82,103,26,29,2005-04-01
11,84,104,26,29,2005-07-01
12,84,104,26,29,2005-10-01
13,84,104,26,29,2006-04-01
14,81,123,30,29,2008-04-01
15,81,123,30,29,2008-07-01
16,81,123,30,29,2008-10-01
17,84,104,26,29,2006-07-01
18,84,104,26,29,2006-10-01
19,81,123,30,29,2007-01-01
20,81,123,30,29,2007-04-01
21,81,123,30,29,2007-07-01
22,81,123,30,29,2007-10-01
23,81,123,30,29,2008-01-01
