ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,29,2,14,2003-07-01
2,25,50,7,16,2003-10-01
3,25,50,7,16,2004-01-01
4,25,50,7,16,2004-04-01
5,25,50,7,16,2004-07-01
6,25,50,7,16,2004-10-01
7,36,93,15,25,2006-01-01
8,25,73,14,24,2005-01-01
9,24,92,15,25,2005-04-01
10,36,93,15,25,2005-07-01
11,36,93,15,25,2005-10-01
12,36,93,15,25,2006-04-01
13,36,86,15,26,2008-04-01
14,47,105,17,27,2008-07-01
15,47,105,17,27,2008-10-01
16,36,93,15,25,2006-07-01
17,36,93,15,25,2006-10-01
18,36,93,15,25,2007-01-01
19,36,87,15,26,2007-04-01
20,36,87,15,26,2007-07-01
21,36,87,15,26,2007-10-01
22,36,87,15,26,2008-01-01
