ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,33,2,14,2003-07-01
2,38,65,9,18,2003-10-01
3,38,65,9,18,2004-01-01
4,47,88,14,19,2004-04-01
5,47,88,14,19,2004-07-01
6,47,88,14,19,2004-10-01
7,0,28,2,14,2003-04-01
8,53,143,22,28,2006-01-01
9,47,109,21,27,2005-01-01
10,45,142,22,28,2005-04-01
11,53,143,22,28,2005-07-01
12,53,143,22,28,2005-10-01
13,53,143,22,28,2006-04-01
14,53,131,22,29,2008-04-01
15,53,130,22,29,2008-07-01
16,53,133,23,29,2008-10-01
17,53,143,22,28,2006-07-01
18,53,143,22,28,2006-10-01
19,53,143,22,28,2007-01-01
20,53,131,22,29,2007-04-01
21,53,131,22,29,2007-07-01
22,53,131,22,29,2007-10-01
23,53,131,22,29,2008-01-01
