ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,91,397,86,62,2003-07-01
2,90,392,84,60,2003-10-01
3,91,445,95,67,2004-01-01
4,91,456,96,67,2004-04-01
5,94,476,97,67,2004-07-01
6,94,474,96,67,2004-10-01
7,90,379,87,59,2003-04-01
8,94,530,112,68,2006-01-01
9,94,507,114,67,2005-01-01
10,94,541,114,67,2005-04-01
11,94,530,112,68,2005-07-01
12,94,530,112,68,2005-10-01
13,94,530,112,68,2006-04-01
14,94,518,114,69,2008-04-01
15,94,515,114,69,2008-07-01
16,95,556,125,76,2008-10-01
17,94,513,112,68,2006-07-01
18,94,513,112,68,2006-10-01
19,94,513,112,68,2007-01-01
20,94,513,112,68,2007-04-01
21,94,513,112,68,2007-07-01
22,94,513,112,68,2007-10-01
23,94,513,112,68,2008-01-01
