ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,41,154,37,29,2003-07-01
2,42,174,42,31,2003-10-01
3,42,174,42,31,2004-01-01
4,40,178,43,32,2004-04-01
5,40,178,43,32,2004-07-01
6,40,181,44,32,2004-10-01
7,49,181,44,31,2006-01-01
8,40,181,44,32,2005-01-01
9,38,168,43,30,2005-04-01
10,49,181,44,31,2005-07-01
11,49,181,44,31,2005-10-01
12,49,181,44,31,2006-04-01
13,49,181,44,31,2008-04-01
14,49,181,44,31,2008-07-01
15,49,181,44,31,2008-10-01
16,49,181,44,31,2006-07-01
17,49,181,44,31,2006-10-01
18,49,181,44,31,2007-01-01
19,49,181,44,31,2007-04-01
20,49,181,44,31,2007-07-01
21,49,181,44,31,2007-10-01
22,49,181,44,31,2008-01-01
