ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,91,500,97,92,2003-07-01
2,91,490,89,100,2003-10-01
3,90,429,86,110,2004-01-01
4,90,499,99,113,2004-04-01
5,90,497,98,114,2004-07-01
6,91,506,100,116,2004-10-01
7,74,56,15,70,2003-04-01
8,90,611,121,114,2006-01-01
9,91,527,108,116,2005-01-01
10,89,527,95,104,2005-04-01
11,90,522,95,106,2005-07-01
12,90,611,121,114,2005-10-01
13,90,611,121,114,2006-04-01
14,91,630,124,117,2008-04-01
15,91,643,127,118,2008-07-01
16,91,644,127,125,2008-10-01
17,91,620,122,115,2006-07-01
18,91,621,122,115,2006-10-01
19,91,621,122,115,2007-01-01
20,91,611,122,115,2007-04-01
21,91,611,122,115,2007-07-01
22,91,631,124,116,2007-10-01
23,91,631,124,116,2008-01-01
