ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,97,20,96,2003-07-01
2,0,35,7,104,2003-10-01
3,0,35,7,114,2004-01-01
4,0,44,8,117,2004-04-01
5,0,44,8,118,2004-07-01
6,0,80,15,121,2004-10-01
7,100,92,15,119,2006-01-01
8,0,80,15,121,2005-01-01
9,0,91,15,109,2005-04-01
10,100,92,15,111,2005-07-01
11,100,92,15,119,2005-10-01
12,100,92,15,119,2006-04-01
13,100,86,15,122,2008-04-01
14,100,86,15,123,2008-07-01
15,100,86,15,130,2008-10-01
16,100,87,15,120,2006-07-01
17,100,87,15,120,2006-10-01
18,100,86,15,120,2007-01-01
19,100,86,15,120,2007-04-01
20,100,86,15,120,2007-07-01
21,100,86,15,121,2007-10-01
22,100,86,15,121,2008-01-01
