ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,74,190,33,27,2003-07-01
2,76,193,34,28,2003-10-01
3,76,193,34,28,2004-01-01
4,76,201,34,28,2004-04-01
5,76,201,34,28,2004-07-01
6,76,201,34,28,2004-10-01
7,79,229,40,29,2006-01-01
8,76,201,34,28,2005-01-01
9,76,225,39,28,2005-04-01
10,79,229,40,29,2005-07-01
11,79,229,40,29,2005-10-01
12,79,229,40,29,2006-04-01
13,79,212,40,29,2008-04-01
14,79,212,40,29,2008-07-01
15,79,212,40,29,2008-10-01
16,79,229,40,29,2006-07-01
17,79,229,40,29,2006-10-01
18,79,229,40,29,2007-01-01
19,79,229,40,29,2007-04-01
20,79,212,40,29,2007-07-01
21,79,212,40,29,2007-10-01
22,79,212,40,29,2008-01-01
