ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,82,444,97,166,2003-07-01
2,82,452,97,184,2003-10-01
3,82,475,99,185,2004-01-01
4,83,541,109,191,2004-04-01
5,83,530,109,202,2004-07-01
6,83,530,109,203,2004-10-01
7,85,527,106,197,2006-01-01
8,83,530,109,203,2005-01-01
9,82,481,101,194,2005-04-01
10,85,527,106,197,2005-07-01
11,85,527,106,197,2005-10-01
12,85,527,106,197,2006-04-01
13,86,547,114,203,2008-04-01
14,86,547,114,203,2008-07-01
15,86,547,114,212,2008-10-01
16,85,527,106,197,2006-07-01
17,85,527,106,197,2006-10-01
18,85,527,106,197,2007-01-01
19,86,548,114,202,2007-04-01
20,86,548,114,202,2007-07-01
21,86,547,114,202,2007-10-01
22,86,547,114,202,2008-01-01
