ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,38,89,12,18,2003-07-01
2,38,90,12,18,2003-10-01
3,38,90,12,18,2004-01-01
4,38,92,12,18,2004-04-01
5,38,92,12,18,2004-07-01
6,38,92,12,18,2004-10-01
7,50,122,18,19,2006-01-01
8,38,101,17,18,2005-01-01
9,38,101,17,18,2005-04-01
10,50,122,18,19,2005-07-01
11,50,122,18,19,2005-10-01
12,50,122,18,19,2006-04-01
13,50,122,18,19,2008-04-01
14,50,122,18,19,2008-07-01
15,50,122,18,19,2008-10-01
16,50,122,18,19,2006-07-01
17,50,122,18,19,2006-10-01
18,50,122,18,19,2007-01-01
19,50,122,18,19,2007-04-01
20,50,122,18,19,2007-07-01
21,50,122,18,19,2007-10-01
22,50,122,18,19,2008-01-01
