ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,94,718,105,142,2003-07-01
2,92,636,84,160,2003-10-01
3,92,636,84,161,2004-01-01
4,93,650,87,165,2004-04-01
5,93,637,87,176,2004-07-01
6,93,631,87,177,2004-10-01
7,87,261,23,117,2003-04-01
8,93,698,99,172,2006-01-01
9,93,636,90,177,2005-01-01
10,92,729,97,170,2005-04-01
11,93,698,99,172,2005-07-01
12,93,698,99,172,2005-10-01
13,93,698,99,172,2006-04-01
14,93,711,102,175,2008-04-01
15,93,711,102,175,2008-07-01
16,93,751,109,184,2008-10-01
17,93,701,100,172,2006-07-01
18,93,706,101,172,2006-10-01
19,93,715,102,172,2007-01-01
20,93,715,102,174,2007-04-01
21,93,715,102,174,2007-07-01
22,93,715,102,174,2007-10-01
23,93,715,102,174,2008-01-01
