ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,97,22,145,2003-07-01
2,0,35,6,163,2003-10-01
3,0,35,6,164,2004-01-01
4,0,39,6,168,2004-04-01
5,0,39,6,179,2004-07-01
6,0,39,6,180,2004-10-01
7,100,43,6,175,2006-01-01
8,0,39,6,180,2005-01-01
9,0,39,6,173,2005-04-01
10,100,43,6,175,2005-07-01
11,100,43,6,175,2005-10-01
12,100,48,8,175,2006-04-01
13,100,48,8,178,2008-04-01
14,100,48,8,178,2008-07-01
15,100,48,8,187,2008-10-01
16,100,48,8,175,2006-07-01
17,100,48,8,175,2006-10-01
18,100,48,8,175,2007-01-01
19,100,48,8,177,2007-04-01
20,100,48,8,177,2007-07-01
21,100,48,8,177,2007-10-01
22,100,48,8,177,2008-01-01
