ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,33,13,3,20,2003-07-01
2,33,13,3,20,2003-10-01
3,33,13,3,20,2004-01-01
4,33,13,3,20,2004-04-01
5,33,13,3,20,2004-07-01
6,33,13,3,20,2004-10-01
7,33,13,3,20,2003-04-01
8,60,38,11,23,2006-01-01
9,33,13,3,20,2005-01-01
10,33,13,3,20,2005-04-01
11,66,14,3,20,2005-07-01
12,60,38,11,23,2005-10-01
13,60,38,11,23,2006-04-01
14,64,50,14,27,2008-04-01
15,64,50,14,27,2008-07-01
16,64,50,14,27,2008-10-01
17,60,38,11,23,2006-07-01
18,60,38,11,23,2006-10-01
19,60,38,11,23,2007-01-01
20,60,38,11,23,2007-04-01
21,60,39,11,23,2007-07-01
22,64,50,14,27,2007-10-01
23,64,50,14,27,2008-01-01
