ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,66,52,12,45,2003-07-01
2,66,47,11,48,2003-10-01
3,66,47,11,48,2004-01-01
4,66,47,11,48,2004-04-01
5,66,47,11,48,2004-07-01
6,66,47,11,48,2004-10-01
7,66,50,11,47,2006-01-01
8,66,47,11,48,2005-01-01
9,66,47,11,47,2005-04-01
10,66,50,11,47,2005-07-01
11,66,50,11,47,2005-10-01
12,66,50,11,47,2006-04-01
13,66,49,11,47,2008-04-01
14,66,49,11,47,2008-07-01
15,66,49,11,47,2008-10-01
16,66,50,11,47,2006-07-01
17,66,50,11,47,2006-10-01
18,66,50,11,47,2007-01-01
19,66,50,11,47,2007-04-01
20,66,50,11,47,2007-07-01
21,66,50,11,47,2007-10-01
22,66,50,11,47,2008-01-01
