ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,94,517,73,51,2003-07-01
2,94,556,76,52,2003-10-01
3,94,556,76,52,2004-01-01
4,94,556,76,52,2004-04-01
5,94,583,80,55,2004-07-01
6,94,586,80,55,2004-10-01
7,94,636,81,56,2006-01-01
8,94,586,80,55,2005-01-01
9,94,583,80,55,2005-04-01
10,94,636,81,56,2005-07-01
11,94,636,81,56,2005-10-01
12,94,636,81,56,2006-04-01
13,94,640,84,57,2008-04-01
14,94,640,84,57,2008-07-01
15,94,640,84,57,2008-10-01
16,94,636,81,56,2006-07-01
17,94,640,82,56,2006-10-01
18,94,640,82,56,2007-01-01
19,94,640,82,56,2007-04-01
20,94,640,82,56,2007-07-01
21,94,653,84,57,2007-10-01
22,94,653,84,57,2008-01-01
