ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,19,42,11,17,2003-07-01
2,19,42,11,17,2003-10-01
3,19,42,11,17,2004-01-01
4,19,42,11,17,2004-04-01
5,19,42,11,17,2004-07-01
6,19,42,11,17,2004-10-01
7,19,42,11,17,2003-04-01
8,58,47,13,18,2006-01-01
9,19,42,11,17,2005-01-01
10,19,42,11,17,2005-04-01
11,60,43,11,17,2005-07-01
12,58,47,13,18,2005-10-01
13,58,47,13,18,2006-04-01
14,62,59,16,20,2008-04-01
15,62,59,16,20,2008-07-01
16,62,59,16,20,2008-10-01
17,58,47,13,18,2006-07-01
18,58,47,13,18,2006-10-01
19,58,47,13,18,2007-01-01
20,58,47,13,18,2007-04-01
21,58,48,13,18,2007-07-01
22,62,59,16,20,2007-10-01
23,62,59,16,20,2008-01-01
