ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,55,215,11,21,2003-07-01
2,45,233,16,23,2003-10-01
3,38,242,19,25,2004-01-01
4,38,242,19,25,2004-04-01
5,38,242,19,25,2004-07-01
6,38,242,19,25,2004-10-01
7,55,215,11,21,2003-04-01
8,55,66,15,21,2006-01-01
9,38,242,19,25,2005-01-01
10,11,64,15,21,2005-04-01
11,55,65,15,21,2005-07-01
12,55,66,15,21,2005-10-01
13,55,66,15,21,2006-04-01
14,55,61,14,21,2008-04-01
15,55,61,14,21,2008-07-01
16,55,61,14,21,2008-10-01
17,55,66,15,21,2006-07-01
18,55,66,15,21,2006-10-01
19,55,66,15,21,2007-01-01
20,55,66,15,21,2007-04-01
21,55,66,15,21,2007-07-01
22,55,61,14,21,2007-10-01
23,55,61,14,21,2008-01-01
