ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,15,4,31,2003-07-01
2,50,15,4,30,2003-10-01
3,50,15,4,30,2004-01-01
4,50,15,4,30,2004-04-01
5,50,31,9,36,2004-07-01
6,50,31,9,36,2004-10-01
7,50,15,4,30,2003-04-01
8,75,33,9,37,2006-01-01
9,50,31,9,36,2005-01-01
10,50,31,9,36,2005-04-01
11,75,33,9,37,2005-07-01
12,75,33,9,37,2005-10-01
13,75,33,9,37,2006-04-01
14,75,33,9,38,2008-04-01
15,75,33,9,38,2008-07-01
16,75,33,9,38,2008-10-01
17,75,33,9,37,2006-07-01
18,75,33,9,37,2006-10-01
19,75,33,9,37,2007-01-01
20,75,33,9,37,2007-04-01
21,75,33,9,37,2007-07-01
22,75,33,9,38,2007-10-01
23,75,33,9,38,2008-01-01
