ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,33,12,3,30,2003-07-01
2,33,12,3,29,2003-10-01
3,33,12,3,29,2004-01-01
4,33,12,3,29,2004-04-01
5,40,28,8,35,2004-07-01
6,40,28,8,35,2004-10-01
7,70,30,8,36,2006-01-01
8,40,28,8,35,2005-01-01
9,40,28,8,35,2005-04-01
10,70,30,8,36,2005-07-01
11,70,30,8,36,2005-10-01
12,70,30,8,36,2006-04-01
13,72,54,15,42,2008-04-01
14,72,54,15,42,2008-07-01
15,72,54,15,42,2008-10-01
16,70,30,8,36,2006-07-01
17,70,30,8,36,2006-10-01
18,70,30,8,36,2007-01-01
19,70,30,8,36,2007-04-01
20,72,54,15,41,2007-07-01
21,72,54,15,42,2007-10-01
22,72,54,15,42,2008-01-01
