ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,77,30,7,22,2003-07-01
2,77,30,7,22,2003-10-01
3,77,30,7,22,2004-01-01
4,77,30,7,22,2004-04-01
5,77,30,7,22,2004-07-01
6,77,30,7,22,2004-10-01
7,77,30,7,22,2003-04-01
8,57,28,7,22,2006-01-01
9,77,30,7,22,2005-01-01
10,57,28,7,22,2005-04-01
11,57,28,7,22,2005-07-01
12,57,28,7,22,2005-10-01
13,57,28,7,22,2006-04-01
14,57,28,7,22,2008-04-01
15,57,28,7,22,2008-07-01
16,57,28,7,22,2008-10-01
17,57,28,7,22,2006-07-01
18,57,28,7,22,2006-10-01
19,57,28,7,22,2007-01-01
20,57,28,7,22,2007-04-01
21,57,28,7,22,2007-07-01
22,57,28,7,22,2007-10-01
23,57,28,7,22,2008-01-01
