ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,60,38,5,17,2003-07-01
2,60,38,5,17,2003-10-01
3,60,38,5,17,2004-01-01
4,60,38,5,17,2004-04-01
5,60,38,5,17,2004-07-01
6,60,38,5,17,2004-10-01
7,60,37,5,17,2003-04-01
8,60,38,5,17,2006-01-01
9,60,38,5,17,2005-01-01
10,60,38,5,17,2005-04-01
11,60,38,5,17,2005-07-01
12,60,38,5,17,2005-10-01
13,60,38,5,17,2006-04-01
14,60,38,5,17,2008-04-01
15,60,38,5,17,2008-07-01
16,60,38,5,17,2008-10-01
17,60,38,5,17,2006-07-01
18,60,38,5,17,2006-10-01
19,60,38,5,17,2007-01-01
20,60,38,5,17,2007-07-01
21,60,38,5,17,2007-10-01
22,60,38,5,17,2008-01-01
