ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,67,7,18,2003-07-01
2,50,67,7,18,2003-10-01
3,50,67,7,18,2004-01-01
4,50,67,7,18,2004-04-01
5,50,67,7,18,2004-07-01
6,50,67,7,18,2004-10-01
7,50,65,7,18,2003-04-01
8,42,79,8,19,2006-01-01
9,50,67,7,18,2005-01-01
10,50,67,7,18,2005-04-01
11,42,79,8,19,2005-07-01
12,42,79,8,19,2005-10-01
13,42,79,8,19,2006-04-01
14,42,78,8,19,2008-04-01
15,42,78,8,19,2008-07-01
16,42,78,8,19,2008-10-01
17,42,79,8,19,2006-07-01
18,42,79,8,19,2006-10-01
19,42,79,8,19,2007-01-01
20,42,78,8,19,2007-07-01
21,42,78,8,19,2007-10-01
22,42,78,8,19,2008-01-01
