ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,42,61,17,19,2003-07-01
2,37,70,19,20,2003-10-01
3,37,70,19,20,2004-01-01
4,37,71,19,20,2004-04-01
5,37,71,19,20,2004-07-01
6,37,71,19,20,2004-10-01
7,68,70,18,20,2006-01-01
8,37,71,19,20,2005-01-01
9,37,71,19,20,2005-04-01
10,68,70,18,20,2005-07-01
11,68,70,18,20,2005-10-01
12,68,70,18,20,2006-04-01
13,68,70,18,20,2008-04-01
14,68,68,18,20,2008-07-01
15,68,68,18,20,2008-10-01
16,68,70,18,20,2006-07-01
17,68,70,18,20,2006-10-01
18,68,70,18,20,2007-01-01
19,68,70,18,20,2007-04-01
20,68,70,18,20,2007-07-01
21,68,70,18,20,2007-10-01
22,68,70,18,20,2008-01-01
