ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,41,5,36,2003-07-01
2,0,54,9,40,2003-10-01
3,0,54,9,40,2004-01-01
4,0,54,9,40,2004-04-01
5,0,54,9,40,2004-07-01
6,0,54,9,40,2004-10-01
7,0,41,5,36,2003-04-01
8,62,63,11,41,2006-01-01
9,0,54,9,40,2005-01-01
10,0,54,9,40,2005-04-01
11,50,56,9,40,2005-07-01
12,62,63,11,41,2005-10-01
13,62,63,11,41,2006-04-01
14,60,68,12,43,2008-04-01
15,60,68,12,43,2008-07-01
16,60,68,12,43,2008-10-01
17,62,63,11,41,2006-07-01
18,62,63,11,41,2006-10-01
19,62,63,11,41,2007-01-01
20,62,63,11,41,2007-04-01
21,62,63,11,41,2007-07-01
22,62,63,11,41,2007-10-01
23,60,68,12,43,2008-01-01
