ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,52,7,36,2003-07-01
2,0,64,11,40,2003-10-01
3,0,64,11,40,2004-01-01
4,0,71,11,40,2004-04-01
5,0,71,11,40,2004-07-01
6,0,71,11,40,2004-10-01
7,0,52,7,36,2003-04-01
8,100,77,12,41,2006-01-01
9,0,71,11,40,2005-01-01
10,0,71,11,40,2005-04-01
11,100,73,11,40,2005-07-01
12,100,77,12,41,2005-10-01
13,100,77,12,41,2006-04-01
14,100,77,12,43,2008-04-01
15,100,77,12,43,2008-07-01
16,100,77,12,43,2008-10-01
17,100,77,12,41,2006-07-01
18,100,77,12,41,2006-10-01
19,100,77,12,41,2007-01-01
20,100,77,12,41,2007-04-01
21,100,77,12,41,2007-07-01
22,100,77,12,41,2007-10-01
23,100,77,12,43,2008-01-01
