ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,55,166,33,191,2003-07-01
2,61,222,47,211,2003-10-01
3,61,222,47,212,2004-01-01
4,61,223,47,213,2004-04-01
5,63,234,49,217,2004-07-01
6,65,260,56,218,2004-10-01
7,75,304,65,237,2006-01-01
8,69,290,65,223,2005-01-01
9,69,304,66,224,2005-04-01
10,75,304,65,236,2005-07-01
11,75,304,65,237,2005-10-01
12,75,304,65,237,2006-04-01
13,78,327,73,272,2008-04-01
14,78,327,73,291,2008-07-01
15,78,327,73,294,2008-10-01
16,75,304,65,240,2006-07-01
17,76,298,66,245,2006-10-01
18,76,298,66,245,2007-01-01
19,76,298,66,247,2007-04-01
20,76,318,70,251,2007-07-01
21,76,318,70,262,2007-10-01
22,76,318,70,262,2008-01-01
