ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,70,206,45,216,2003-07-01
2,71,244,54,245,2003-10-01
3,72,254,55,236,2004-01-01
4,72,260,58,239,2004-04-01
5,72,267,59,246,2004-07-01
6,72,280,63,247,2004-10-01
7,78,300,67,262,2006-01-01
8,73,299,68,259,2005-01-01
9,73,311,69,260,2005-04-01
10,78,300,67,262,2005-07-01
11,78,300,67,262,2005-10-01
12,78,300,67,263,2006-04-01
13,80,328,74,299,2008-04-01
14,79,321,72,301,2008-07-01
15,79,321,72,316,2008-10-01
16,79,305,68,266,2006-07-01
17,79,300,68,267,2006-10-01
18,79,300,68,269,2007-01-01
19,79,300,68,278,2007-04-01
20,79,320,72,281,2007-07-01
21,79,320,72,289,2007-10-01
22,79,320,72,291,2008-01-01
