ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,55,158,32,191,2003-07-01
2,61,223,48,211,2003-10-01
3,61,223,48,212,2004-01-01
4,61,224,48,213,2004-04-01
5,63,233,50,217,2004-07-01
6,67,258,58,219,2004-10-01
7,73,276,60,235,2006-01-01
8,67,264,60,221,2005-01-01
9,67,281,61,222,2005-04-01
10,73,276,60,234,2005-07-01
11,73,276,60,235,2005-10-01
12,73,276,60,235,2006-04-01
13,73,272,61,267,2008-04-01
14,73,272,61,286,2008-07-01
15,73,272,61,289,2008-10-01
16,73,276,60,238,2006-07-01
17,73,270,60,242,2006-10-01
18,73,270,60,242,2007-01-01
19,73,270,60,244,2007-04-01
20,73,270,60,248,2007-07-01
21,73,270,60,259,2007-10-01
22,73,270,60,259,2008-01-01
