ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,66,26,6,15,2003-07-01
2,58,35,9,16,2003-10-01
3,58,35,9,16,2004-01-01
4,58,35,9,16,2004-04-01
5,58,35,9,16,2004-07-01
6,58,35,9,16,2004-10-01
7,68,36,9,16,2006-01-01
8,58,35,9,16,2005-01-01
9,58,35,9,16,2005-04-01
10,68,36,9,16,2005-07-01
11,68,36,9,16,2005-10-01
12,68,36,9,16,2006-04-01
13,70,39,10,17,2008-04-01
14,70,39,10,17,2008-07-01
15,70,39,10,17,2008-10-01
16,68,36,9,16,2006-07-01
17,68,36,9,16,2006-10-01
18,68,36,9,16,2007-01-01
19,68,36,9,16,2007-04-01
20,68,36,9,16,2007-07-01
21,68,36,9,16,2007-10-01
22,70,39,10,17,2008-01-01
