ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,7,5,5,2003-07-01
2,0,7,5,5,2003-10-01
3,0,7,5,5,2004-01-01
4,0,7,5,5,2004-04-01
5,0,7,5,5,2004-07-01
6,0,7,5,5,2004-10-01
7,0,7,5,5,2006-01-01
8,0,7,5,5,2005-01-01
9,0,7,5,5,2005-04-01
10,0,7,5,5,2005-07-01
11,0,7,5,5,2005-10-01
12,0,7,5,5,2006-04-01
13,0,8,6,6,2008-04-01
14,0,8,6,6,2008-07-01
15,0,8,6,6,2008-10-01
16,0,7,5,5,2006-07-01
17,0,7,5,5,2006-10-01
18,0,7,5,5,2007-01-01
19,0,7,5,5,2007-04-01
20,0,8,6,6,2007-07-01
21,0,8,6,6,2007-10-01
22,0,8,6,6,2008-01-01
