ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,78,140,32,81,2003-07-01
2,75,214,49,87,2003-10-01
3,75,214,49,88,2004-01-01
4,86,331,71,102,2004-04-01
5,86,331,71,104,2004-07-01
6,86,331,71,104,2004-10-01
7,84,158,36,79,2003-04-01
8,88,397,86,106,2006-01-01
9,86,367,84,106,2005-01-01
10,87,370,85,107,2005-04-01
11,87,390,84,106,2005-07-01
12,88,397,86,106,2005-10-01
13,88,397,86,106,2006-04-01
14,88,417,94,117,2008-04-01
15,88,417,94,118,2008-07-01
16,88,417,94,118,2008-10-01
17,88,397,86,108,2006-07-01
18,88,396,90,111,2006-10-01
19,88,396,90,111,2007-01-01
20,88,396,90,111,2007-04-01
21,88,396,90,114,2007-07-01
22,88,417,94,116,2007-10-01
23,88,417,94,116,2008-01-01
