ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,68,98,28,717,2003-07-01
2,71,121,33,722,2003-10-01
3,72,127,35,724,2004-01-01
4,72,127,35,724,2004-04-01
5,72,127,35,724,2004-07-01
6,72,127,35,724,2004-10-01
7,68,98,28,717,2003-04-01
8,77,132,35,724,2006-01-01
9,72,127,35,724,2005-01-01
10,72,127,35,724,2005-04-01
11,77,132,35,724,2005-07-01
12,77,132,35,724,2005-10-01
13,77,132,35,724,2006-04-01
14,77,131,35,724,2008-04-01
15,77,131,35,724,2008-07-01
16,77,131,35,724,2008-10-01
17,77,132,35,724,2006-07-01
18,77,132,35,724,2006-10-01
19,77,131,35,724,2007-01-01
20,77,131,35,724,2007-04-01
21,77,131,35,724,2007-07-01
22,77,131,35,724,2007-10-01
23,77,131,35,724,2008-01-01
