ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,94,448,110,66,2003-07-01
2,93,461,112,67,2003-10-01
3,94,470,113,68,2004-01-01
4,94,464,119,68,2004-04-01
5,94,473,121,70,2004-07-01
6,94,475,121,70,2004-10-01
7,93,397,97,67,2003-04-01
8,94,511,130,67,2006-01-01
9,94,499,132,70,2005-01-01
10,94,522,132,70,2005-04-01
11,94,517,131,69,2005-07-01
12,94,511,130,67,2005-10-01
13,94,511,130,67,2006-04-01
14,94,565,148,74,2008-04-01
15,94,571,150,75,2008-07-01
16,94,571,150,75,2008-10-01
17,94,523,135,69,2006-07-01
18,94,527,136,70,2006-10-01
19,94,527,138,70,2007-01-01
20,94,527,138,70,2007-04-01
21,94,566,147,73,2007-07-01
22,94,566,147,73,2007-10-01
23,94,566,147,73,2008-01-01
