ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,95,577,116,130,2003-07-01
2,95,591,118,132,2003-10-01
3,95,638,123,135,2004-01-01
4,95,633,123,135,2004-04-01
5,95,633,123,137,2004-07-01
6,95,633,123,137,2004-10-01
7,95,587,117,129,2003-04-01
8,95,711,146,134,2006-01-01
9,95,670,141,139,2005-01-01
10,95,689,138,136,2005-04-01
11,95,685,137,135,2005-07-01
12,95,711,146,134,2005-10-01
13,95,711,146,134,2006-04-01
14,96,749,165,151,2008-04-01
15,96,749,165,152,2008-07-01
16,96,750,165,152,2008-10-01
17,95,711,146,136,2006-07-01
18,95,713,146,137,2006-10-01
19,95,678,146,137,2007-01-01
20,95,678,146,137,2007-04-01
21,95,697,152,140,2007-07-01
22,96,749,165,150,2007-10-01
23,96,749,165,150,2008-01-01
