ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,95,498,117,95,2003-07-01
2,96,836,209,141,2003-10-01
3,96,843,211,143,2004-01-01
4,96,1012,249,148,2004-04-01
5,96,1006,248,147,2004-07-01
6,96,1064,264,157,2004-10-01
7,91,316,75,66,2003-04-01
8,96,1273,322,163,2006-01-01
9,97,1171,308,166,2005-01-01
10,97,1230,310,161,2005-04-01
11,97,1243,313,163,2005-07-01
12,96,1273,322,163,2005-10-01
13,96,1243,322,163,2006-04-01
14,97,1329,352,182,2008-04-01
15,97,1454,384,199,2008-07-01
16,97,1454,384,199,2008-10-01
17,96,1243,322,163,2006-07-01
18,96,1243,322,163,2006-10-01
19,96,1243,322,163,2007-01-01
20,96,1244,327,164,2007-04-01
21,97,1317,352,182,2007-07-01
22,97,1317,352,182,2007-10-01
23,97,1329,352,182,2008-01-01
