ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,65,50,13,22,2003-07-01
2,65,49,12,22,2003-10-01
3,65,49,12,22,2004-01-01
4,65,49,12,22,2004-04-01
5,65,49,12,22,2004-07-01
6,65,49,12,22,2004-10-01
7,65,49,12,22,2006-01-01
8,65,49,12,22,2005-01-01
9,65,49,12,22,2005-04-01
10,65,49,12,22,2005-07-01
11,65,49,12,22,2005-10-01
12,65,49,12,22,2006-04-01
13,59,65,17,23,2008-04-01
14,59,65,17,23,2008-07-01
15,59,65,17,23,2008-10-01
16,65,49,12,22,2006-07-01
17,65,49,12,22,2006-10-01
18,65,49,12,22,2007-01-01
19,65,49,12,22,2007-04-01
20,65,49,12,22,2007-07-01
21,65,49,12,22,2007-10-01
22,59,65,17,23,2008-01-01
