ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,40,9,99,2003-07-01
2,70,48,12,20,2003-10-01
3,70,48,12,20,2004-01-01
4,70,48,12,20,2004-04-01
5,70,48,12,20,2004-07-01
6,70,48,12,20,2004-10-01
7,70,49,12,20,2006-01-01
8,70,48,12,20,2005-01-01
9,70,49,12,20,2005-04-01
10,70,49,12,20,2005-07-01
11,70,49,12,20,2005-10-01
12,70,49,12,20,2006-04-01
13,70,49,12,20,2008-04-01
14,70,49,12,20,2008-07-01
15,70,49,12,20,2008-10-01
16,70,49,12,20,2006-07-01
17,70,49,12,20,2006-10-01
18,70,49,12,20,2007-01-01
19,70,49,12,20,2007-04-01
20,70,49,12,20,2007-07-01
21,70,49,12,20,2007-10-01
22,70,49,12,20,2008-01-01
