ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,40,25,7,17,2003-07-01
2,40,25,7,17,2003-10-01
3,40,25,7,17,2004-01-01
4,40,26,7,17,2004-04-01
5,40,26,7,17,2004-07-01
6,40,26,7,17,2004-10-01
7,40,25,7,17,2003-04-01
8,40,28,7,17,2006-01-01
9,40,26,7,17,2005-01-01
10,40,28,7,17,2005-04-01
11,40,28,7,17,2005-07-01
12,40,28,7,17,2005-10-01
13,40,28,7,17,2006-04-01
14,40,28,7,17,2008-04-01
15,40,28,7,17,2008-07-01
16,40,28,7,17,2008-10-01
17,40,28,7,17,2006-07-01
18,40,28,7,17,2006-10-01
19,40,28,7,17,2007-01-01
20,40,28,7,17,2007-04-01
21,40,28,7,17,2007-07-01
22,40,28,7,17,2007-10-01
23,40,28,7,17,2008-01-01
